currency,item_list_name,index,item_name,item_id,item_ean,price,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_brand,item_variant,coupon,discount
EUR,catalog,1,escalopines-de-lomo-de-cerdo-fresco-marinado-el-pozo-extratiernos-600-g,284171,8410843060451,5.59,cat20002-productos-frescos,1,284171,605301855,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,2,jamoncitos-de-pollo-carrefour-600-g-aprox,293108,2966983000001,2.03,cat20002-productos-frescos,1,293108,713621736,carrefour,carrefour,home_delivery|drive,carrefour,troceados|enteros,directo/sobre-producto/_super-precio,0.24
EUR,catalog,3,berlinas-bombon-carrefour-4-ud,095604,2969324000005,1.56,cat20002-productos-frescos,1,095604,696602452,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,4,lasana-bolonesa-carrefour-el-mercado-350-g,274162,8431876226027,2.5,cat20002-productos-frescos,1,274162,525888095,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,5,mini-fuet-carrefour-el-mercado-sin-gluten-50-g,709939,8431876289428,1.09,cat20002-productos-frescos,1,709939,vc4aecomm-709939,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,6,queso-fundido-en-porciones-carrefour-kids-400-g,793398,3560070374199,2.35,cat20002-productos-frescos,1,793398,521007332,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,7,queso-en-lonchas-semicurado-carrefour-200-g,584075,8431876098969,2.25,cat20002-productos-frescos,1,584075,521030525,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,8,pechuga-de-pollo-carrefour-12-kg-aprox,961474,2981439000008,6.9,cat20002-productos-frescos,1,961474,827513087,carrefour,carrefour,home_delivery|drive,carrefour,,directo/sobre-producto/_-10-acumulacion,
EUR,catalog,9,tomate-rosa-carrefour-500-g-aprox,646389,2999792000009,1.72,cat20002-productos-frescos,1,646389,vc4aecomm-646389,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,10,salchichas-con-queso-fundido-estilo-frankfurt-carrefour-pack-de-4-sobres-de-140-g,399377,8431876279863,1.85,cat20002-productos-frescos,1,399377,fprod1460356,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,11,chuletas-de-pavo-marinadas-al-ajillo-carrefour-450-g-aprox,268792,2953238000008,3.04,cat20002-productos-frescos,1,268792,prod780286,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,12,crema-de-queso-original-philadelphia-sin-gluten-250-g,548437,7622210103352,2.55,cat20002-productos-frescos,1,548437,vc4aecomm-548437,carrefour,carrefour,home_delivery|drive,philadelphia,,directo/sobre-producto/_5-dto,
EUR,catalog,13,alas-de-pollo-adobadas-partidas-carrefour-550-g-aprox,062836,2956832000009,2.19,cat20002-productos-frescos,1,062836,vc4aecomm-062836,carrefour,carrefour,home_delivery|drive,carrefour,,directo/sobre-producto/_super-precio,0.15
EUR,catalog,14,queso-fresco-batido-desnatado-proteina-plus-sensation-carrefour-500-g,422068,8431876280166,1.41,cat20002-productos-frescos,1,422068,vc4aecomm-422068,carrefour,carrefour,home_delivery|drive,carrefour,,directo/sobre-producto/_2-unidad--50,
EUR,catalog,15,pechuga-de-pavo-cocida-naturarte-campofrio-150-g-aprox,427260,2970260000004,2.39,cat20002-productos-frescos,1,427260,765504637,carrefour,carrefour,home_delivery|drive,campofrio,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,,
EUR,catalog,16,jamon-curado-en-lonchas-el-pozo-1954-sin-gluten-y-sin-lactosa-80-g,710124,8410843032915,1.5,cat20002-productos-frescos,1,710124,vc4aecomm-710124,carrefour,carrefour,home_delivery|drive,el-pozo,,,
EUR,catalog,17,ensalada-cesar-carrefour-215-g,988650,8431876251166,2.39,cat20002-productos-frescos,1,988650,844803399,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,18,medio-flautin-con-olivas-1-ud,220201,8424465919547,0.43,cat20002-productos-frescos,1,220201,vc4aecomm-220201,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,19,queso-rallado-parmesano-carrefour-extra-100-g,264543,3560070157198,2.99,cat20002-productos-frescos,1,264543,522714749,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,20,pechuga-de-pollo-fileteada-carrefour-1-kg-aprox,471148,2970637000002,7.29,cat20002-productos-frescos,1,471148,714713283,carrefour,carrefour,home_delivery|drive,carrefour,corte-normal|enteras,,
EUR,catalog,21,jamon-cocido-extra-en-lonchas-el-pozo-sin-gluten-y-sin-lactosa-225-g,710118,8410843129905,2.99,cat20002-productos-frescos,1,710118,vc4aecomm-710118,carrefour,carrefour,home_delivery|drive,el-pozo,,directo/sobre-producto/_2-unidad--50,
EUR,catalog,22,napolitana-chocolate-1-ud,086386,8433709121554,0.89,cat20002-productos-frescos,1,086386,vc4aecomm-086386,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,23,galleta-cookie-triple-chocolate-1-ud,313703,8424465880298,1.05,cat20002-productos-frescos,1,313703,vc4aecomm-313703,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,24,baguettina-congelada-sin-gluten-1-ud,799678,2957782000002,1.14,cat20002-productos-frescos,1,799678,607225987,carrefour,carrefour,home_delivery|drive,,,,
