currency,item_list_name,index,item_name,item_id,item_ean,price,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_brand,coupon,item_variant,discount
EUR,catalog,1,pepino-de-almeria-a-granel-1-kg,053820,2901644000006,2.49,cat20002-productos-frescos,1,053820,628401719,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,2,queso-fresco-original-burgo-de-arias-sin-gluten-pack-de-3-unidades-de-72-g,020884,8413100611175,3.19,cat20002-productos-frescos,1,020884,521030553,carrefour,carrefour,home_delivery|drive,burgo-de-arias,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,3,burguer-cruchy-carrefour-el-mercado-pack-de-2-unidades-de-120-g,367047,8431876354201,1.85,cat20002-productos-frescos,1,367047,vc4aecomm-367047,carrefour,carrefour,home_delivery|drive,el-mercado,,,
EUR,catalog,4,pez-espada-12-kg-aprox,033453,2901836000005,19.74,cat20002-productos-frescos,1,033453,530066878,carrefour,carrefour,home_delivery|drive,,,filete-con-piel|troceado,
EUR,catalog,5,champinon-pie-cortado-carrefour-600-g-aprox,271642,2993998000009,3.42,cat20002-productos-frescos,1,271642,fprod1220135,carrefour,carrefour,home_delivery|drive,carrefour,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,6,fiambre-de-pechuga-de-pavo-braseada-en-lonchas-campofrio-sin-gluten-y-sin-lactosa-75-g,695953,8410320398206,1.09,cat20002-productos-frescos,1,695953,vc4aecomm-695953,carrefour,carrefour,home_delivery|drive,campofrio,,,
EUR,catalog,7,ensalada-completa-gourmet-con-nueces-y-queso-de-cabra-florette-180-g,459151,8414516103476,3.79,cat20002-productos-frescos,1,459151,prod390784,carrefour,carrefour,home_delivery|drive,florette,,,
EUR,catalog,8,queso-fresco-desnatado-con-arandanos-sin-azucar-anadido-proteina-plus-carrefour-sensation-sin-gluten-pack-de-4-unidades-de-100-g,097578,8431876314526,1.22,cat20002-productos-frescos,1,097578,vc4aecomm-097578,carrefour,carrefour,home_delivery|drive,carrefour,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,9,medio-flautin-rustico-1-ud,220213,8424465995886,0.28,cat20002-productos-frescos,1,220213,vc4aecomm-220213,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,10,tulipe-chocolate-extreme-1-ud,779500,8424465609318,1.09,cat20002-productos-frescos,1,779500,vc4aecomm-779500,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,11,acelga-cortada-carrefour-el-mercado-300-g,261440,8431876034639,1.19,cat20002-productos-frescos,1,261440,521032384,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,12,sardina-parrocha-1-kg-aprox,056912,2904512000009,4.95,cat20002-productos-frescos,1,056912,628108248,carrefour,carrefour,home_delivery|drive,,,entero|entero-limpio,
EUR,catalog,13,tomate-cherry-rama-sharmita-premium-200-g,199845,8437025236008,2.59,cat20002-productos-frescos,1,199845,vc4aecomm-199845,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,14,apio-verde-manojo-de-750-g,050289,8430994000069,1.45,cat20002-productos-frescos,1,050289,521031385,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,15,queso-rallado-4-quesos-el-caserio-120-g,167065,7622201751456,2.95,cat20002-productos-frescos,1,167065,vc4aecomm-167065,carrefour,carrefour,home_delivery|drive,el-caserio,,,
EUR,catalog,16,queso-fresco-desnatado-con-fresa-sin-azucar-anadido-proteinas-plus-carrefour-sensation-sin-gluten-pack-de-4-unidades-e-100-g,097569,8431876314519,1.22,cat20002-productos-frescos,1,097569,vc4aecomm-097569,carrefour,carrefour,home_delivery|drive,carrefour,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,17,pechuga-de-pavo-reducido-en-sal-0-grasa-elpozo-al-corte-180-g-aprox-,693676,2948488000007,2.62,cat20002-productos-frescos,1,693676,615401888,carrefour,carrefour,home_delivery|drive,el-pozo,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,
EUR,catalog,18,jamon-cocido-extra-braseado-en-lonchas-finas-campofrio-finissimas-sin-gluten-y-sin-lactosa-115-g,694984,8410320077958,1.89,cat20002-productos-frescos,1,694984,prod1040496,carrefour,carrefour,home_delivery|drive,campofrio,,,
EUR,catalog,19,albahaca-cortada-carrefour-el-mercado-20-g,350555,8431876215908,1.49,cat20002-productos-frescos,1,350555,600805215,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,20,pechuga-de-pavo-braseado-en-lonchas-campofrio-finissimas-sin-gluten-y-sin-lactosa-170-g,695365,8410320115933,2.99,cat20002-productos-frescos,1,695365,vc4aecomm-695365,carrefour,carrefour,home_delivery|drive,campofrio,directo/sobre-producto/_2-unidad--50,,0.26
EUR,catalog,21,patata-princesa-amandine-15-kg,533347,8424136791144,3.25,cat20002-productos-frescos,1,533347,vc4aecomm-533347,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,22,queso-en-loncha-tierno-light-en-lonchas-carrefour-200-g,873786,8431876239799,2.35,cat20002-productos-frescos,1,873786,784418084,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,23,napolitana-bombon-carrefour-4-ud,862471,2990795000003,2.99,cat20002-productos-frescos,1,862471,prod760590,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,24,queso-de-mezcla-semicurado-ya-cortado-carrefour-classic-cuna-de-250-g,711241,8431876302363,3.59,cat20002-productos-frescos,1,711241,vc4aecomm-711241,carrefour,carrefour,home_delivery|drive,carrefour,,,
