currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_variant,coupon,discount
EUR,catalog,1,queso-gouda-loncheado-carrefour-150-g,873945,3560070648634,2.05,carrefour,cat20002-productos-frescos,1,873945,784429250,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,2,pate-de-higado-de-cerdo-classic-carrefour-200-g,799271,8431876332353,1.07,carrefour,cat20002-productos-frescos,1,799271,521006579,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,3,salchichon-iberico-extra-en-lonchas-carrefour-sin-gluten-100-g,709884,8431876096309,1.89,carrefour,cat20002-productos-frescos,1,709884,vc4aecomm-709884,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,4,pollo-relleno-al-corte-la-carlotena-sin-gluten-150-g-aprox,415159,2931297000009,2.25,,cat20002-productos-frescos,1,415159,607902896,carrefour,carrefour,home_delivery|drive,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,,
EUR,catalog,5,repollo-liso-nacional--15-kg,050258,2940356000003,2.25,,cat20002-productos-frescos,1,050258,529916719,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,6,jamon-de-cebo-iberico-50-raza-iberica-en-lonchas-sanchez-alcaraz-sin-gluten-y-sin-lactosa-200-g,192695,8431945708911,12.9,,cat20002-productos-frescos,1,192695,prod1130685,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50,
EUR,catalog,7,jamon-serrano-bodega-en-lonchas-carrefour-el-mercado-500-g-aprox,083494,2957156000003,7.95,carrefour,cat20002-productos-frescos,1,083494,vc4aecomm-083494,carrefour,carrefour,home_delivery|drive,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,,
EUR,catalog,8,longaniza-de-payes-en-lonchas-carrefour-sin-gluten-100-g,709726,8431876164343,1.79,carrefour,cat20002-productos-frescos,1,709726,vc4aecomm-709726,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,9,lacon-cocido-al-horno-en-lonchas-carrefour-el-mercado-sin-gluten-y-sin-lactosa-200-g,180586,8431876343434,2.55,carrefour,cat20002-productos-frescos,1,180586,vc4aecomm-180586,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,10,hamburguesa-de-cerdo-sin-gluten-y-sin-lactosa-carrefour-el-mercado-6x90-g,479501,8431876358728,2.49,carrefour,cat20002-productos-frescos,1,479501,vc4aecomm-479501,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,11,compango-asturiano-el-chico-250-g,110389,8412582003379,2.65,nacional-sin-marca,cat20002-productos-frescos,1,110389,vc4aecomm-110389,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,12,lechuga-batavia-verde-1-ud,385584,8437001593552,0.99,,cat20002-productos-frescos,1,385584,521009780,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_todo-a-1-,
EUR,catalog,13,crema-de-queso-light-philadelphia-350-g,409338,7622210103253,3.65,philadelphia,cat20002-productos-frescos,1,409338,704404249,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2x1-acumula,
EUR,catalog,14,pechuga-de-pollo-al-natural-en-tiras-carrefour-sin-gluten-140-g,476944,8431876288445,2.19,carrefour,cat20002-productos-frescos,1,476944,vc4aecomm-476944,carrefour,carrefour,home_delivery|drive,,,
