currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_variant,discount
EUR,catalog,1,jamon-de-cebo-iberico-50-raza-iberica-en-lonchas-ibersierra-sin-gluten-y-sin-lactosa-100-g,695012,8431876326666,6.79,ibersierra,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,695012,vc4aecomm-695012,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,patas-de-pulpo-cocido-carrefour-el-mercado-270-g,335273,8431876351583,11.95,el-mercado,cat20002-productos-frescos,1,,335273,vc4aecomm-335273,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,medallones-de-merluza-carrefour-extra-480-g,516880,3560071528942,4.09,carrefour,cat20002-productos-frescos,1,,516880,vc4aecomm-516880,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,4,codillo-de-jamon-curado-precortado-el-pozo-sin-gluten-850-g,321663,8410843035602,2.45,el-pozo,cat20002-productos-frescos,1,,321663,665801826,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,lomo-de-atun-400-g-aprox,232145,2920710000009,7.96,,cat20002-productos-frescos,1,,232145,659101740,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,queso-fresco-villalon-carrefour-220-g-aprox,526794,2936373000003,3.0,carrefour,cat20002-productos-frescos,1,,526794,603504390,carrefour,carrefour,home_delivery|drive,cuna-de-14|cuna-de-18|medio-queso|queso-entero,
EUR,catalog,7,queso-cabra-lonchas-garcia-baquero-125-g,414674,8412289000930,3.19,garcia-baquero,cat20002-productos-frescos,1,,414674,585301575,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,contramuslo-de-pollo-carrefour-1-kg-aprox,961476,2981441000003,3.59,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_super-precio,961476,prod68072,carrefour,carrefour,home_delivery|drive,,0.2
EUR,catalog,9,pan-rebanado-hogaza-500-g,503317,8431876299427,1.88,carrefour,cat20002-productos-frescos,1,,503317,vc4aecomm-503317,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,lomo-de-cerdo-al-ajillo-fileteado-carrefour-750-g-aprox,239838,2963304000009,5.77,carrefour,cat20002-productos-frescos,1,,239838,575701513,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,bacon-en-cintas-casa-tarradellas-sin-gluten-150-g,698149,8410762002891,2.05,casa-tarradellas,cat20002-productos-frescos,1,,698149,vc4aecomm-698149,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,trozo-de-vacuno-para-cocido-carrefour-el-mercado-250-g-aprox,497188,2909487000009,7.19,el-mercado,cat20002-productos-frescos,1,,497188,vc4aecomm-497188,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,salmon-en-rodaja-calidad-y-origen-carrefour-300-g-aprox,283313,2987526000005,5.65,circulo-de-calidad,cat20002-productos-frescos,1,,283313,prod231114,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,calabaza-troceada-ecologica-carrefour-bio-400-g,082121,8431876272116,1.99,carrefour-bio,cat20002-productos-frescos,1,,082121,prod1000622,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,salchichon-iberico-extra-en-lonchas-carrefour-el-mercado-2x625-g,468304,8431876289701,2.25,carrefour,cat20002-productos-frescos,1,,468304,vc4aecomm-468304,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,salchichon-extra-cular-carrefour-al-corte-300-g-aprox,497340,2935284000003,4.47,carrefour,cat20002-productos-frescos,1,,497340,607402569,carrefour,carrefour,home_delivery|drive,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,
EUR,catalog,17,queso-de-cabra-rulo-madurado-simpl-180-g,427717,8431876351729,2.25,simpl,cat20002-productos-frescos,1,,427717,711411277,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,jamon-de-pavo-cocido-en-finas-lonchas-carrefour-el-mercado-sin-gluten-225-g,633785,8431876303124,1.79,carrefour,cat20002-productos-frescos,1,,633785,vc4aecomm-633785,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,tomate-natural-rallado-con-aceite-de-oliva-virgen-surinver-230-g,990289,8430236520188,1.39,,cat20002-productos-frescos,1,,990289,prod790053,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,ajo-blanco-extra-de-chinchon-500-g,505485,8425531110011,3.99,,cat20002-productos-frescos,1,,505485,600709244,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,21,salmon-ahumado-ecologico-carrefour-bio-85-g,713862,8431876318180,4.49,carrefour-bio,cat20002-productos-frescos,1,,713862,vc4aecomm-713862,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,pechuga-de-pollo-campofrio-finissimas-sin-gluten-y-sin-lactosa-115-g,698585,8410320001762,2.15,campofrio,cat20002-productos-frescos,1,,698585,vc4aecomm-698585,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,pan-tostado-integral-ortiz-320-g,001630,8412600037348,2.85,ortiz,cat20002-productos-frescos,1,,001630,521002613,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,lazos-cebra-6-ud,401446,8412702008017,3.65,,cat20002-productos-frescos,1,,401446,prod273251,carrefour,carrefour,home_delivery|drive,,
