currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_variant
EUR,catalog,1,leche-fermentada-pro-sabor-stracciatella-lindahls-160-g,205550,3023290072097,1.35,lindahls,cat20002-productos-frescos,1,directo/sobre-producto/_2x1-acumula,205550,prod1160056,carrefour,carrefour,home_delivery|drive,
EUR,catalog,2,ajo-ecologico-carrefour-bio-a-granel-200-g-aprox,332219,2994647000005,2.04,carrefour-bio,cat20002-productos-frescos,1,,332219,fprod1290082,carrefour,carrefour,home_delivery|drive,
EUR,catalog,3,calcots-manojo-de-1-kg,053851,8360186111573,4.99,,cat20002-productos-frescos,1,,053851,530067052,carrefour,carrefour,home_delivery|drive,
EUR,catalog,4,champinon-laminado-carrefour-bio-300-g-aprox,271620,2993996000001,2.98,carrefour-bio,cat20002-productos-frescos,1,,271620,fprod1220113,carrefour,carrefour,home_delivery|drive,
EUR,catalog,5,salchichon-extra-en-lonchas-carrefour-el-mercado-2x120-g,248781,8431876345308,2.25,el-mercado,cat20002-productos-frescos,1,,248781,vc4aecomm-248781,carrefour,carrefour,home_delivery|drive,
EUR,catalog,6,zanahoria-rallada-carrefour-el-mercado-150-g,522036,8431876090536,0.96,carrefour,cat20002-productos-frescos,1,,522036,529916711,carrefour,carrefour,home_delivery|drive,
EUR,catalog,7,cake-natur-carrefour-el-mercado-550-g,229772,8431876348439,2.95,carrefour,cat20002-productos-frescos,1,,229772,prod130034,carrefour,carrefour,home_delivery|drive,
EUR,catalog,8,queso-de-vaca-havarti-de-barra-en-lonchas-arla-220-g-aprox,099490,2969422000006,3.77,abrilisto,cat20002-productos-frescos,1,,099490,698102545,carrefour,carrefour,home_delivery|drive,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,9,mortadela-estilo-italiana-en-lonchas-carrefour-el-mercado-sin-gluten-y-sin-lactosa-150-g,242921,8431876344295,1.89,carrefour,cat20002-productos-frescos,1,,242921,vc4aecomm-242921,carrefour,carrefour,home_delivery|drive,
EUR,catalog,10,salchichas-big-pollo-el-pozo-sin-gluten-pack-de-3-unidades-de-200-g,910814,8410843142362,2.5,el-pozo,cat20002-productos-frescos,1,,910814,823352275,carrefour,carrefour,home_delivery|drive,
EUR,catalog,11,endivia-carrefour-450-g,436933,8431876287752,1.75,carrefour,cat20002-productos-frescos,1,,436933,vc4aecomm-436933,carrefour,carrefour,home_delivery|drive,
EUR,catalog,12,fiambre-de-pechuga-de-pavo-para-sandwich-en-lonchas-el-pozo-sin-gluten-270-g,711211,8410843012801,1.99,el-pozo,cat20002-productos-frescos,1,,711211,vc4aecomm-711211,carrefour,carrefour,home_delivery|drive,
EUR,catalog,13,lomos-de-merluza-carrefour-extra-400-g,516856,3560071530051,4.25,carrefour,cat20002-productos-frescos,1,,516856,vc4aecomm-516856,carrefour,carrefour,home_delivery|drive,
EUR,catalog,14,queso-rallado-emmental-especial-pastas-president-150-g,053192,3228024070015,3.39,president,cat20002-productos-frescos,1,directo/sobre-producto/_2x1-acumula,053192,521030776,carrefour,carrefour,home_delivery|drive,
EUR,catalog,15,queso-fresco-campolindo-250-g,480055,8410285103532,1.89,campolindo,cat20002-productos-frescos,1,,480055,vc4aecomm-480055,carrefour,carrefour,home_delivery|drive,
EUR,catalog,16,mortadela-iberica-legado-el-pozo-180-g-aprox,703449,2948715000008,1.72,el-pozo,cat20002-productos-frescos,1,,703449,615401890,carrefour,carrefour,home_delivery|drive,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,17,fiambre-de-pechuga-de-pollo-campofrio-sin-gluten-sin-lactosa-80-g,695945,8410320187862,0.99,campofrio,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,695945,vc4aecomm-695945,carrefour,carrefour,home_delivery|drive,
EUR,catalog,18,pechuga-de-pavo-reducida-en-sal-en-lonchas-extrafinas-carrefour-el-mercado-sin-gluten-100-g,164431,8431876341393,2.69,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,164431,vc4aecomm-164431,carrefour,carrefour,home_delivery|drive,
EUR,catalog,19,butifarra-fresca-extra-de-cerdo-enrollada-carrefour-700-g,550788,8431876294422,3.89,carrefour,cat20002-productos-frescos,1,,550788,vc4aecomm-550788,carrefour,carrefour,home_delivery|drive,
EUR,catalog,20,rosquillas-fritas-400-g,560182,8436026538272,4.49,,cat20002-productos-frescos,1,,560182,607402849,carrefour,carrefour,home_delivery|drive,
EUR,catalog,21,preparado-de-carne-picada-de-vacuno-circulo-de-calidad-400-g,126715,8431876273113,5.19,circulo-de-calidad,cat20002-productos-frescos,1,,126715,prod1070062,carrefour,carrefour,home_delivery|drive,
EUR,catalog,22,cebolla-blanca-carrefour-500-g,795904,8431876150315,1.79,carrefour,cat20002-productos-frescos,1,,795904,521032278,carrefour,carrefour,home_delivery|drive,
EUR,catalog,23,queso-fundido-en-porciones-light-la-vaca-que-rie-sin-gluten-375-g,011464,3073781012088,4.09,la-vaca-que-rie,cat20002-productos-frescos,1,,011464,674001751,carrefour,carrefour,home_delivery|drive,
EUR,catalog,24,paleta-de-cebo-iberica-50-raza-iberica-en-lonchas-ibersierra-sin-gluten-y-sin-lactosa-100-g,694999,8431876326864,6.79,ibersierra,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,694999,vc4aecomm-694999,carrefour,carrefour,home_delivery|drive,
