currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,discount,item_variant
EUR,catalog,1,filete-1-a-de-cadera-o-babilla-de-anojo-circulo-de-calidad-550-g-aprox,126608,2992721000002,7.95,circulo-de-calidad,cat20002-productos-frescos,1,directo/sobre-producto/_super-precio,126608,prod1070081,carrefour,carrefour,home_delivery|drive,3.32,
EUR,catalog,2,solomillo-de-pollo-empanado-carrefour-el-mercado-300-g-aprox,367035,2904272000004,2.55,el-mercado,cat20002-productos-frescos,1,,367035,vc4aecomm-367035,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,bacon-cocido-ahumado-lonchas-corte-fresco-el-pozo-sin-gluten-sin-lactosa-150-g,710953,8410843037354,2.69,el-pozo,cat20002-productos-frescos,1,,710953,vc4aecomm-710953,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,4,lomo-embuchado-salamanca-carrefour-taco-de-400-g-aprox,199110,2962772000009,7.2,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_super-precio,199110,536500283,carrefour,carrefour,home_delivery|drive,2.6,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,5,manzana-reineta-verde-a-granel-1-kg-aprox,035644,2902087000004,2.55,,cat20002-productos-frescos,1,,035644,553703190,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,brocoli-ecologico-carrefour-bio-350-g,038262,8431876127539,2.35,carrefour-bio,cat20002-productos-frescos,1,,038262,597201489,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,bimi-200-g,794390,8436006187056,2.05,,cat20002-productos-frescos,1,,794390,841600622,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,cilantro--manojo-de-100-g,917301,8436006183003,1.59,,cat20002-productos-frescos,1,,917301,804523465,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,carcasa-de-pollo-carrefour-800-g-aprox,163053,2961922000005,0.95,carrefour,cat20002-productos-frescos,1,,163053,prod280997,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,chorizo-picante-extra-sarta-palacios-250-g,709407,8420878000438,4.35,palacios,cat20002-productos-frescos,1,,709407,vc4aecomm-709407,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,chorizo-extra-curado-revilla-al-corte-250-g-aprox-,003817,2901083000001,4.2,,cat20002-productos-frescos,1,,003817,609800544,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,12,centro-de-jamon-dop-teruel-de-nuestra-tierra-al-corte-150-g-aprox,179219,2992981000002,5.23,de-nuestra-tierra,cat20002-productos-frescos,1,,179219,prod1130188,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,13,cecina-en-lonchas-palcarsa-80-g,207656,8412877009840,3.39,,cat20002-productos-frescos,1,,207656,vc4aecomm-207656,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,finas-de-mar-sabor-al-ajillo-simply-175-g,314592,8431876348514,1.49,carrefour,cat20002-productos-frescos,1,,314592,vc4aecomm-314592,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,palmeron-de-hojaldre-de-azucar-xxl-carrefour-330-g,496511,2970793000007,1.55,carrefour,cat20002-productos-frescos,1,,496511,716511224,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,crema-de-queso-clasico-ecologico-carrefour-bio-150-g,120096,3560071455323,1.47,carrefour-bio,cat20002-productos-frescos,1,,120096,vc4aecomm-120096,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,bacon-cocido-ahumado-en-lonchas-el-pozo-sin-gluten-y-sin-lactosa-110-g,711274,8410843125570,1.49,el-pozo,cat20002-productos-frescos,1,,711274,vc4aecomm-711274,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,manzana-royal-gala-ecologica-bandeja-750-g,281641,8431876363791,2.99,carrefour-bio,cat20002-productos-frescos,1,,281641,600709190,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,chuleta-de-sajonia-600-g-aprox,503736,2997288000007,5.63,,cat20002-productos-frescos,1,,503736,vc4aecomm-503736,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,pepperoni-en-lonchas-carrefour-el-mercado-sin-gluten-75-g,207009,8431876343052,1.79,carrefour,cat20002-productos-frescos,1,,207009,vc4aecomm-207009,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,21,chorizo-iberico-en-lonchas-carrefour-el-mercado-2x625-g,468274,8431876289688,2.25,carrefour,cat20002-productos-frescos,1,,468274,vc4aecomm-468274,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,salchichas-king-el-pozo-sin-gluten-330-g,263826,8410843118169,2.15,el-pozo,cat20002-productos-frescos,1,,263826,prod820199,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,lacon-en-tapas-cortadas-a-cuchillo-mrm-170-g,070883,8426262006406,4.39,mrm,cat20002-productos-frescos,1,,070883,683508017,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,filete-1a-de-vacuno-carrefour-500-g,279725,2963908000009,8.49,,cat20002-productos-frescos,1,,279725,608101731,carrefour,carrefour,home_delivery|drive,,filetes
