currency,item_list_name,index,item_name,item_id,item_ean,price,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_brand,coupon
EUR,catalog,1,mousse-pato-medallon-aoste-pack-de-2-unidades-de-100-g-,159247,3033124634902,4.75,cat20002-productos-frescos,1,159247,522714461,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,chorizo-asturiano-el-chico-250-g,110399,8412582000477,2.78,cat20002-productos-frescos,1,110399,vc4aecomm-110399,carrefour,carrefour,home_delivery|drive,nacional-sin-marca,
EUR,catalog,3,hamburguesa-de-vacuno-sin-gluten-y-sin-lactosa-carrefour-el-mercado-6x90-g,479495,8431876358704,5.19,cat20002-productos-frescos,1,479495,vc4aecomm-479495,carrefour,carrefour,home_delivery|drive,carrefour,
EUR,catalog,4,stick-de-apio-blanco-carrefour-el-mercado-300-g,354188,8431876353464,1.89,cat20002-productos-frescos,1,354188,prod300893,carrefour,carrefour,home_delivery|drive,carrefour,
EUR,catalog,5,paleta-gran-reserva-en-lonchas-carrefour-el-mercado-90-g,243194,8431876345261,3.79,cat20002-productos-frescos,1,243194,vc4aecomm-243194,carrefour,carrefour,home_delivery|drive,el-mercado,directo/sobre-producto/_2-unidad--50
EUR,catalog,6,pate-a-la-pimienta-classic-carrefour-sin-gluten-y-sin-lactosa-160-g,044271,8431876268751,1.08,cat20002-productos-frescos,1,044271,prod930006,carrefour,carrefour,home_delivery|drive,carrefour,
EUR,catalog,7,estofado-de-vacuno-carrefour-el-mercado-500-g-aprox,133601,2945911000009,7.27,cat20002-productos-frescos,1,133601,vc4aecomm-133601,carrefour,carrefour,home_delivery|drive,el-mercado,
EUR,catalog,8,lombarda-1-kg,050231,2940355000004,2.05,cat20002-productos-frescos,1,050231,529916717,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,filete-1-a-vacuno-el-mercado-500-g-aprox,133782,2945920000007,8.49,cat20002-productos-frescos,1,133782,vc4aecomm-133782,carrefour,carrefour,home_delivery|drive,el-mercado,
EUR,catalog,10,bocadito-de-pan-de-hamburguesa-255-g,147929,8431876299397,1.88,cat20002-productos-frescos,1,147929,538003198,carrefour,carrefour,home_delivery|drive,carrefour,
EUR,catalog,11,pechuga-de-pavo-cocido-extra-en-lonchas-carrefour-el-mercado-200-g,050752,8431876327625,2.35,cat20002-productos-frescos,1,050752,vc4aecomm-050752,carrefour,carrefour,home_delivery|drive,carrefour,
EUR,catalog,12,pate-a-la-pimienta-carrefour-el-mercado-sin-gluten-100-g,187486,8431876343809,1.45,cat20002-productos-frescos,1,187486,vc4aecomm-187486,carrefour,carrefour,home_delivery|drive,carrefour,
EUR,catalog,13,cabeza-de-lomo-de-cerdo-carrefour-al-vacio-1-kg-aprox,954542,2980851000009,5.29,cat20002-productos-frescos,1,954542,825101789,carrefour,carrefour,home_delivery|drive,carrefour,
EUR,catalog,14,hinojo-1-kg-aprox,050228,2904035000005,3.09,cat20002-productos-frescos,1,050228,525888021,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,queso-gorgonzola-dop-carrefour-extra-200-g,458663,8431876351224,2.99,cat20002-productos-frescos,1,458663,vc4aecomm-458663,carrefour,carrefour,home_delivery|drive,carrefour,directo/sobre-producto/_2-unidad--50
EUR,catalog,16,boniato-ecologico-650-g,945933,8412276157692,2.85,cat20002-productos-frescos,1,945933,827511606,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,crema-de-queso-de-untar-natural-philadelphia-pack-de-2-unidades-de-250-g,084438,7622210680433,4.89,cat20002-productos-frescos,1,084438,854600355,carrefour,carrefour,home_delivery|drive,philadelphia,directo/sobre-producto/_5-dto
EUR,catalog,18,medio-conejo-troceado-circulo-de-calidad-650-g-aprox,793575,2958533000005,5.75,cat20002-productos-frescos,1,793575,527054517,carrefour,carrefour,home_delivery|drive,circulo-de-calidad,
EUR,catalog,19,tabule-oriental-400-g,772170,8431876318784,2.4,cat20002-productos-frescos,1,772170,808725776,carrefour,carrefour,home_delivery|drive,carrefour,directo/sobre-producto/_2-unidad--50
EUR,catalog,20,mini-croissant-bombon-6-ud,990655,2990979000003,3.39,cat20002-productos-frescos,1,990655,prod790120,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,21,bizcochitos-tosta-rica-125-g,812902,8434164505682,3.29,cat20002-productos-frescos,1,812902,639501900,carrefour,carrefour,home_delivery|drive,tosta-rica,
EUR,catalog,22,jamon-de-cebo-iberico-50-raza-iberica-cortado-a-cuchillo-circulo-de-calidad-100-g-aprox,497261,2909489000007,7.5,cat20002-productos-frescos,1,497261,vc4aecomm-497261,carrefour,carrefour,home_delivery|drive,circulo-de-calidad,
EUR,catalog,23,queso-fresco-original-burgo-de-arias-pack-de-6-unidades-de-72-g,523717,8413100611212,5.75,cat20002-productos-frescos,1,523717,521030543,carrefour,carrefour,home_delivery|drive,burgo-de-arias,
EUR,catalog,24,bacalao-desmigado-desalado-carrefour-el-mercado-250-g,713810,8431876321821,5.75,cat20002-productos-frescos,1,713810,vc4aecomm-713810,carrefour,carrefour,home_delivery|drive,carrefour,
