currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,item_variant
EUR,catalog,1,croquetas-caseras-de-jamon-iberico-295-g,371923,8431876330212,4.4,carrefour,cat20002-productos-frescos,1,371923,prod310245,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,jamon-serrano-reserva-en-lonchas-villar-sin-gluten-y-sin-lactosa-180-g,702132,8421906212151,4.69,villar,cat20002-productos-frescos,1,702132,vc4aecomm-702132,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,zanahoria-circulo-de-calidad-125-g,244812,8431876277548,0.99,circulo-de-calidad,cat20002-productos-frescos,1,244812,fprod1190595,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_todo-a-1-,
EUR,catalog,4,salchichas-big-pavo-el-pozo-sin-gluten-pack-de-3-unidades-de-200-g,426760,8410843142379,2.5,el-pozo,cat20002-productos-frescos,1,426760,766916874,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,jamon-cocido-extra-braseado-al-corte-el-pozo-edicion-1954-170-g-aprox,969372,2982270000004,2.03,el-pozo,cat20002-productos-frescos,1,969372,835367307,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,6,sobrasada-de-mallorca-el-zagal-200-g,709443,8411959101007,2.95,el-zagal,cat20002-productos-frescos,1,709443,vc4aecomm-709443,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,ensalada-new-yorker-carrefour-210-g,988652,8431876251173,2.49,carrefour,cat20002-productos-frescos,1,988652,844803403,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,curcuma-ecologica--150-g,841533,8429736022988,1.85,,cat20002-productos-frescos,1,841533,prod620148,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,fiambre-de-pechuga-de-pavo-noel-sin-gluten-y-sin-lactosa-200-g-aprox,693826,2952784000005,1.8,noel,cat20002-productos-frescos,1,693826,vc4aecomm-693826,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-normal-23mm|loncha-gruesa-34mm
EUR,catalog,10,preparado-para-cocido-carrefour-1-kg-aprox,036118,2902512000005,6.89,carrefour,cat20002-productos-frescos,1,036118,522713961,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,pan-batard-carrefour-1-ud,859118,2990701000004,2.39,,cat20002-productos-frescos,1,859118,prod760049,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,chirimoya-a-granel-circulo-de-calidad-1-kg-aprox,494087,2954548000009,5.49,circulo-de-calidad,cat20002-productos-frescos,1,494087,vc4aecomm-494087,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,pechuga-de-pavo-braseada-artesana-en-lonchas-campofrio-180-g-aprox,991737,2991031000009,2.75,campofrio,cat20002-productos-frescos,1,991737,prod800252,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,14,queso-en-lonchas-curado-carrefour-200-g,584086,8431876098976,3.89,carrefour,cat20002-productos-frescos,1,584086,521030533,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,crema-al-queso-azul-president-125-g,568841,3228022040201,2.05,president,cat20002-productos-frescos,1,568841,521030677,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,16,pera-rocha-carrefour-a-granel-500-g-aprox,094463,2957319000000,1.22,carrefour,cat20002-productos-frescos,1,094463,vc4aecomm-094463,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,jamon-cocido-extra-sin-fosfatos-en-lonchas-circulo-de-calidad-155-g,898935,2977739000008,2.05,circulo-de-calidad,cat20002-productos-frescos,1,898935,825503648,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,empanada-de-hojaldre-de-atun-300-g,122007,8431876309478,3.3,carrefour,cat20002-productos-frescos,1,122007,544601618,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,salchichas-big-classic-el-pozo-sin-gluten-pack-de-3-unidades-de-200-g,872133,8410843142348,2.5,el-pozo,cat20002-productos-frescos,1,872133,792400095,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,queso-maasdam-carrefour-375-g,308318,8431876349207,3.39,carrefour,cat20002-productos-frescos,1,308318,vc4aecomm-308318,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,21,mini-napolitana-de-chocolate-carrefour-10-ud,330589,2967830000007,3.65,carrefour,cat20002-productos-frescos,1,330589,669401923,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,maletin-de-jamon-de-cebo-iberico-50-raza-iberica-en-lonchas-el-pozo-sin-gluten-y-sin-lactosa-15-sobres-de-50-g,231130,8410843147435,51.0,,cat20002-productos-frescos,1,231130,vc4aecomm-231130,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,fiambre-de-pechuga-de-pavo-en-lonchas-elpozo-sin-gluten-y-sin-lactosa-80-g,135083,8410843149170,1.0,,cat20002-productos-frescos,1,135083,vc4aecomm-135083,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,pavo-con-trufa-y-boletus-al-corte-el-pozo-legado-150-g-aprox,303747,2987836000009,2.68,el-pozo,cat20002-productos-frescos,1,303747,prod271630,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
