currency,item_list_name,index,item_name,item_id,item_ean,price,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_brand,item_variant,coupon
EUR,catalog,1,chorizo-de-leon-extra-en-lonchas-palcarsa-sin-gluten-y-sin-lactosa-100-g,299388,2982395000002,2.19,cat20002-productos-frescos,1,299388,vc4aecomm-299388,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,2,la-gula-del-norte-2x210-g,806329,8422107002039,10.5,cat20002-productos-frescos,1,806329,630301661,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,3,centro-de-paleta-iberica-50-raza-iberica-ibersierra-300-g-aprox-,128528,2945802000002,13.02,cat20002-productos-frescos,1,128528,vc4aecomm-128528,carrefour,carrefour,home_delivery|drive,carrefour,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,
EUR,catalog,4,filete-de-merluza-sin-piel-congelado-850-g,412039,8431876355901,7.85,cat20002-productos-frescos,1,412039,vc4aecomm-412039,carrefour,carrefour,home_delivery|drive,el-mercado,,
EUR,catalog,5,ensalada-pasta-y-atun-325-g,010744,8414516138980,3.39,cat20002-productos-frescos,1,010744,vc4aecomm-010744,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,6,pechuga-de-pavo-carrefour-el-mercado-sin-gluten-pieza-de-400-g,710370,8431876250725,3.15,cat20002-productos-frescos,1,710370,vc4aecomm-710370,carrefour,carrefour,home_delivery|drive,carrefour,,
EUR,catalog,7,lomo-de-salmon-calidad-y-origen-carrefour-400-g-aprox,295106,2987699000000,9.96,cat20002-productos-frescos,1,295106,prod261161,carrefour,carrefour,home_delivery|drive,circulo-de-calidad,,
EUR,catalog,8,magro-de-cerdo-adobado-el-pozo-330-g,735603,8410843065340,2.39,cat20002-productos-frescos,1,735603,607220366,carrefour,carrefour,home_delivery|drive,el-pozo,,
EUR,catalog,9,queso-tierno-en-tiras-original-pik-nik-kids-80-g,618947,4770299391610,2.45,cat20002-productos-frescos,1,618947,vc4aecomm-618947,carrefour,carrefour,home_delivery|drive,pik-nik,,
EUR,catalog,10,fuetis-snacks-original-casademont-sin-gluten-50-g,708257,8411034691539,1.29,cat20002-productos-frescos,1,708257,vc4aecomm-708257,carrefour,carrefour,home_delivery|drive,casademont,,
EUR,catalog,11,chorizo-criollo-oreado-carrefour-400-g-aprox,561228,2933522000006,3.18,cat20002-productos-frescos,1,561228,vc4aecomm-561228,carrefour,carrefour,home_delivery|drive,el-mercado,,
EUR,catalog,12,queso-fundido-en-porciones-light-la-vaca-que-rie-sin-gluten-250-g,002774,8410259103049,2.79,cat20002-productos-frescos,1,002774,521030604,carrefour,carrefour,home_delivery|drive,la-vaca-que-rie,,
EUR,catalog,13,fuet-original-navidul-150-g,710006,8410320288255,3.55,cat20002-productos-frescos,1,710006,vc4aecomm-710006,carrefour,carrefour,home_delivery|drive,navidul,,
EUR,catalog,14,pate-a-las-finas-hierbas-classic-carrefour-sin-gluten-y-sin-lactosa-160-g,044289,8431876268768,1.08,cat20002-productos-frescos,1,044289,prod930066,carrefour,carrefour,home_delivery|drive,carrefour,,
EUR,catalog,15,mini-croissant-clasico-carrefour-10-ud,079723,2957098000000,3.25,cat20002-productos-frescos,1,079723,vc4aecomm-079723,carrefour,carrefour,home_delivery|drive,carrefour,,
EUR,catalog,16,mortadela-siciliana-en-lonchas-el-pozo-sin-gluten-225-g,711205,8410843013877,1.5,cat20002-productos-frescos,1,711205,prod394715,carrefour,carrefour,home_delivery|drive,el-pozo,,
EUR,catalog,17,masa-hojaldre-carrefour-classic-460-g,969704,3560071269364,2.09,cat20002-productos-frescos,1,969704,832908377,carrefour,carrefour,home_delivery|drive,carrefour,,
EUR,catalog,18,placas-de-lasana-y-canelones-frescas-al-huevo-carrefour-original-250-g,761147,8431876314496,1.72,cat20002-productos-frescos,1,761147,vc4aecomm-761147,carrefour,carrefour,home_delivery|drive,carrefour,,directo/sobre-producto/_2-unidad--50
EUR,catalog,19,barritas-krissia-300-g,714020,8422107005498,4.65,cat20002-productos-frescos,1,714020,521032020,carrefour,carrefour,home_delivery|drive,,,directo/sobre-producto/_2-unidad--50
EUR,catalog,20,centro-de-jamon-serrano-gran-reserva-en-lonchas-carrefour-170-g-aprox,227587,2993341000007,4.58,cat20002-productos-frescos,1,227587,prod221882,carrefour,carrefour,home_delivery|drive,carrefour,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,
EUR,catalog,21,queso-puro-de-oveja-viejo-graso-flor-de-esgueva-cuna-400-g,712249,8410285193755,12.39,cat20002-productos-frescos,1,712249,vc4aecomm-712249,carrefour,carrefour,home_delivery|drive,flor-de-esgueva,,directo/sobre-producto/_2-unidad--50
EUR,catalog,22,pera-blanquilla-carrefour-15-kg-aprox,531316,2907321000000,3.52,cat20002-productos-frescos,1,531316,vc4aecomm-531316,carrefour,carrefour,home_delivery|drive,carrefour,,
EUR,catalog,23,corvina-circulo-de-calidad-2-kg-aprox,320145,2994324000007,19.9,cat20002-productos-frescos,1,320145,fprod1260183,carrefour,carrefour,home_delivery|drive,circulo-de-calidad,entero|entero-limpio|rodajas|espalda-con-espina|espalda-sin-espina|filetes|filetes-sin-piel,
EUR,catalog,24,mortadela-di-bologna-igp-ferrarini-espana-100-g,840769,8030153604871,3.05,cat20002-productos-frescos,1,840769,prod590910,carrefour,carrefour,home_delivery|drive,,,
