currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_variant,coupon
EUR,catalog,1,morcillo-de-anojo-circulo-de-calidad-550-g-aprox,126605,2992720000003,8.77,circulo-de-calidad,cat20002-productos-frescos,1,126605,prod1070079,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,chorizo-de-pavo-en-lonchas-carrefour-el-mercado-2x75-g,469100,8431876290035,2.89,carrefour,cat20002-productos-frescos,1,469100,vc4aecomm-469100,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,napolitana-de-mantequilla-y-chocolate-carrefour-6-ud,760462,2957529000005,3.65,carrefour,cat20002-productos-frescos,1,760462,613402589,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,4,pan-tostado-ortiz-320-g,001628,8412600037355,2.85,ortiz,cat20002-productos-frescos,1,001628,521002611,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,pepitos-con-crema-de-cacao-carrefour-envase-4-ud,011123,2968062000001,3.25,,cat20002-productos-frescos,1,011123,711901713,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,queso-lonchas-garcia-baquero-sin-lactosa-150-g,358352,8412289003818,3.29,garcia-baquero,cat20002-productos-frescos,1,358352,597201603,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,mortadela-ahumada-mrm-170-g-aprox,262634,2921851000002,1.44,mrm,cat20002-productos-frescos,1,262634,590504300,carrefour,carrefour,home_delivery|drive,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,
EUR,catalog,8,salchichas-alemanas-cocidas-y-ahumadas-estilo-baviera-campofrio-sin-gluten-260-g,002839,8410320004374,2.65,campofrio,cat20002-productos-frescos,1,002839,521031131,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,rulo-de-queso-cabra-madurado-con-moho-carrefour-200-g-aprox,985823,2983367000006,3.24,carrefour,cat20002-productos-frescos,1,985823,843506646,carrefour,carrefour,home_delivery|drive,cuna-de-14|cuna-de-18|queso-entero|medio-queso,
EUR,catalog,10,mini-ensaimada-de-azucar-carrefour-6-ud,035769,2902205000008,3.15,,cat20002-productos-frescos,1,035769,525964545,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,viruta-de-patata-carrefour-250-g,530498,8431876309096,3.95,carrefour,cat20002-productos-frescos,1,530498,525973474,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50
EUR,catalog,12,pechuga-de-pavo-en-lonchas-noel-grand-bouquet-sin-gluten-y-sin-lactosa-140-g,980769,8410783333363,2.25,noel,cat20002-productos-frescos,1,980769,prod190305,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,queso-de-vaca-curado-200-g,822374,8431876261790,2.75,simpl,cat20002-productos-frescos,1,822374,prod420078,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,mini-fuet-al-brie-snackin-campofrio-sin-gluten-50-g,695244,8410320337687,1.65,campofrio,cat20002-productos-frescos,1,695244,vc4aecomm-695244,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50
EUR,catalog,15,chorizo-de-cerdo-iberico-oreado-carrefour-el-mercado-400-g-aprox,612716,2999190000007,4.6,carrefour,cat20002-productos-frescos,1,612716,vc4aecomm-612716,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,salami-alharce-campofrio-al-corte-250-g-aprox,003770,2901042000004,4.74,campofrio,cat20002-productos-frescos,1,003770,609800532,carrefour,carrefour,home_delivery|drive,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,
EUR,catalog,17,lomo-de-cerdo-adobado-al-horno-el-pozo-330-g,743258,8410843065319,3.69,el-pozo,cat20002-productos-frescos,1,743258,530706207,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,hamburguesas-de-vacuno-ecologica-carrefour-bio-2x120-g,126474,8431876272970,3.69,carrefour-bio,cat20002-productos-frescos,1,126474,prod1070059,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,jamon-curado-en-taquitos-navidul-sin-gluten-pack-de-2-unidades-de-60-g,802571,2965592000006,2.95,navidul,cat20002-productos-frescos,1,802571,625801612,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,queso-de-cabra-fresco-tradicional-granja-rinya-200-g-aprox,178331,2962336000001,3.96,granja-rinya,cat20002-productos-frescos,1,178331,590502912,carrefour,carrefour,home_delivery|drive,cuna-de-14|cuna-de-18|medio-queso|queso-entero,
EUR,catalog,21,queso-de-cabra-tierno-carrefour-classic-cuna-de-300-g,322428,8431876351460,4.05,carrefour,cat20002-productos-frescos,1,322428,vc4aecomm-322428,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,cabeza-de-cerdo-en-lonchas-embutidos-frial-sin-gluten-y-sin-lactosa-260-g,896470,2977544000002,3.55,,cat20002-productos-frescos,1,896470,795705044,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,jamon-cocido-extra-en-lonchas-enteras-argal-bonnatur-sin-gluten-y-sin-lactosa-200-g,422898,8410764018159,4.45,bonnatur,cat20002-productos-frescos,1,422898,vc4aecomm-422898,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,medallon-de-babilla-de-vacuno-angus-carrefour-selection-400-g-aprox,007138,2956270000005,8.76,carrefour,cat20002-productos-frescos,1,007138,vc4aecomm-007138,carrefour,carrefour,home_delivery|drive,,
