currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,discount,item_variant
EUR,catalog,1,queso-mozzarella-en-lonchas-carrefour-200-g,695564,3560070418053,1.78,carrefour,cat20002-productos-frescos,1,695564,521030724,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,2,pechuga-de-pavo-en-lonchas-carrefour-el-mercado-sin-gluten-2x200-g,050651,8431876327649,3.65,carrefour,cat20002-productos-frescos,1,050651,vc4aecomm-050651,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,0.44,
EUR,catalog,3,fuet-espetec-carrefour-el-mercado-sin-gluten-210-g,611098,8431876300222,2.79,carrefour,cat20002-productos-frescos,1,611098,vc4aecomm-611098,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,4,queso-burrata-carrefour-extra-125-g,346467,8431876302608,1.89,carrefour,cat20002-productos-frescos,1,346467,vc4aecomm-346467,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,5,bizcocho-rondo-de-yogur-carrefour-el-mercado-700-g,342503,8431876353914,2.95,carrefour,cat20002-productos-frescos,1,342503,vc4aecomm-342503,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,6,uva-rosada-sin-pepitas-carrefour-el-mercado-bandeja-de-500-g,402114,8431876285611,2.79,carrefour,cat20002-productos-frescos,1,402114,fprod1460463,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,7,lomo-de-cerdo-adobado-extra-en-filetes-carrefour-500-g-aprox,679647,2952496000003,3.32,carrefour,cat20002-productos-frescos,1,679647,vc4aecomm-679647,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,0.12,
EUR,catalog,8,chorizo-extra-dulce-carrefour-sin-gluten-280-g,709826,8431876008517,2.49,carrefour,cat20002-productos-frescos,1,709826,vc4aecomm-709826,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,9,jamon-cocido-extra-en-finas-lonchas-carrefour-el-mercado-sin-gluten-2x225-g,050774,8431876327816,3.59,carrefour,cat20002-productos-frescos,1,050774,vc4aecomm-050774,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,10,queso-roquefort-dop-extra-carrefour-cuna-100-g,683274,3560070117185,1.9,carrefour,cat20002-productos-frescos,1,683274,prod841268,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,11,jamon-curado-en-lonchas-xxl-elpozo-seleccion-sin-gluten-y-sin-lactosa-225-g,711046,8410843137115,4.65,el-pozo,cat20002-productos-frescos,1,711046,vc4aecomm-711046,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,12,bollito-recubierto-de-chocolate-blanco-rayado-donettes-8-ud,682487,8410022116719,2.85,donettes,cat20002-productos-frescos,1,682487,vc4aecomm-682487,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,13,lubina-600-g-aprox,301585,2932588000005,4.71,carrefour,cat20002-productos-frescos,1,301585,790212148,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,0.24,entero|entero-limpio|rodajas|filetes|filetes-sin-piel|espalda-con-espina|espalda-sin-espina
EUR,catalog,14,boniato-carrefour-1-kg-aprox,645288,2999754000009,2.79,carrefour,cat20002-productos-frescos,1,645288,vc4aecomm-645288,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,15,corazon-de-lechuga-romana-650-g,461999,8437004873002,1.67,,cat20002-productos-frescos,1,461999,521032315,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,16,tortas-de-aceite-ines-rosales-180-g,046706,8410637112014,2.25,ines-rosales,cat20002-productos-frescos,1,046706,521008126,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,17,berlina-fondant-donuts-204-g,153863,8410022108349,2.99,donuts,cat20002-productos-frescos,1,153863,590204453,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,18,naranjas-de-mesa-carrefour-el-mercado-saco-de-6-kg,633807,8431876303193,5.1,carrefour,cat20002-productos-frescos,1,633807,vc4aecomm-633807,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_precio-imbatible,0.79,
EUR,catalog,19,queso-fundido-en-lonchas-carrefour-classic-555-g,110231,8431876302691,2.39,carrefour,cat20002-productos-frescos,1,110231,vc4aecomm-110231,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,20,jamon-curado-reducido-en-sal-navidul-45-g,695941,8410320260329,0.99,navidul,cat20002-productos-frescos,1,695941,vc4aecomm-695941,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,21,croissant-brioche-1-ud,651611,8424465942460,0.79,,cat20002-productos-frescos,1,651611,vc4aecomm-651611,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,22,lomo-embuchado-en-lonchas-carrefour-sin-gluten-pack-de-4-unidades-de-3125-g,709767,8431876291575,2.39,carrefour,cat20002-productos-frescos,1,709767,vc4aecomm-709767,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,23,zumo-de-naranja-recien-exprimido-carrefour-1-l,444984,8431876269949,6.29,carrefour,cat20002-productos-frescos,1,444984,vc4aecomm-444984,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,24,perejil-manojo-150-g,050311,8437001904105,1.0,,cat20002-productos-frescos,1,050311,521032285,carrefour,carrefour,home_delivery|drive,,,
