currency,item_list_name,index,item_name,item_id,item_ean,price,item_category,item_variant,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,discount,item_brand
EUR,catalog,1,caballa-13-kg-aprox,033451,2901834000007,5.84,cat20002-productos-frescos,entero|entero-limpio|rodajas|espalda-con-espina,1,directo/sobre-producto/_super-precio,033451,628108219,carrefour,carrefour,home_delivery|drive,4.55,
EUR,catalog,2,limon-ecologico-carrefour-bio-500-g,738651,8431876122114,2.15,cat20002-productos-frescos,,1,,738651,584501555,carrefour,carrefour,home_delivery|drive,,carrefour-bio
EUR,catalog,3,queso-fresco-batido-desnatado-carrefour-classic-500-g,277000,8431876153118,0.99,cat20002-productos-frescos,,1,,277000,526501224,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,4,ensalada-completa-cesar-con-pollo-y-queso-florette-205-g,319665,8414516078354,3.39,cat20002-productos-frescos,,1,,319665,719504433,carrefour,carrefour,home_delivery|drive,,florette
EUR,catalog,5,kiwi-1-kg-aprox,036041,2902449000000,3.15,cat20002-productos-frescos,,1,,036041,530066908,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,jamon-cocido-extra-elpozo-gourmet-sin-gluten-y-sin-lactosa-130-g,193022,8410843141563,2.79,cat20002-productos-frescos,,1,,193022,vc4aecomm-193022,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,queso-havarti-en-lonchas-carrefour-200-g,695558,3560070418084,2.09,cat20002-productos-frescos,,1,,695558,521030719,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,8,mortadela-con-aceitunas-en-lonchas-carrefour-el-mercado-sin-gluten-250-g,710730,8431876282641,1.35,cat20002-productos-frescos,,1,,710730,vc4aecomm-710730,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,9,jamon-curado-en-medias-lonchas-el-pozo-1954-sin-gluten-y-sin-lactosa-50-g,338992,8410843148258,0.99,cat20002-productos-frescos,,1,,338992,vc4aecomm-338992,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,corazon-de-cogollos-circulo-de-calidad-x-6-ud,390584,8431876052985,2.15,cat20002-productos-frescos,,1,,390584,521032337,carrefour,carrefour,home_delivery|drive,,circulo-de-calidad
EUR,catalog,11,croissant-beurre-charentes-poitou-80-g-,188404,2993011000009,0.72,cat20002-productos-frescos,,1,,188404,prod1130532,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,12,queso-emmental-taco-carrefour-250-g,681470,3560070219421,2.25,cat20002-productos-frescos,,1,directo/sobre-producto/_2-unidad--50,681470,vc4aecomm-681470,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,13,jamon-cocido-extra-sin-fosfatos-bonnatur-argal-al-corte-150-g-aprox,640707,2945252000003,2.32,cat20002-productos-frescos,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,1,,640707,536500299,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,ensalada-mezclum-carrefour-el-mercado-200-g,385839,8431876218817,1.4,cat20002-productos-frescos,,1,,385839,628401775,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,15,pan-burguer-chapatta-cristalina-2-ud,386865,8431876324884,1.47,cat20002-productos-frescos,,1,,386865,prod860386,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,16,fuet-espetec-carrefour-classic-sin-gluten-2x170-g,709945,8431876289473,3.99,cat20002-productos-frescos,,1,,709945,prod1120404,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,17,chorizo-pamplona-en-lonchas-revilla-sin-gluten-65-g,699043,8410320135757,1.09,cat20002-productos-frescos,,1,directo/sobre-producto/_2-unidad--50,699043,prod841658,carrefour,carrefour,home_delivery|drive,,revilla
EUR,catalog,18,salami-extra-en-lonchas-revilla-sin-gluten-65-g,699046,8410320135733,1.09,cat20002-productos-frescos,,1,directo/sobre-producto/_2-unidad--50,699046,vc4aecomm-699046,carrefour,carrefour,home_delivery|drive,,revilla
EUR,catalog,19,pimiento-de-padron-200-g,053886,8421525055450,1.65,cat20002-productos-frescos,,1,,053886,521032234,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,chorizo-extra-picante-carrefour-sin-gluten-280-g,709827,8431876008500,2.59,cat20002-productos-frescos,,1,,709827,vc4aecomm-709827,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,21,contras-de-pollo-carrefour-600-g-aprox,293111,2966984000000,2.15,cat20002-productos-frescos,entero|troceados,1,directo/sobre-producto/_super-precio,293111,713621738,carrefour,carrefour,home_delivery|drive,0.12,carrefour
EUR,catalog,22,medio-flautin-con-cereales-carrefour-1-ud,220198,8424465997132,0.43,cat20002-productos-frescos,,1,,220198,vc4aecomm-220198,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,panecillo-100-integral-6-ud,498739,8437016823132,1.05,cat20002-productos-frescos,,1,,498739,vc4aecomm-498739,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,filete-de-cabeza-de-lomo-de-cerdo-carrefour-500-g-aprox,152237,2914286000006,3.14,cat20002-productos-frescos,,1,directo/sobre-producto/_super-precio,152237,521034617,carrefour,carrefour,home_delivery|drive,0.2,carrefour
