currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,item_variant,discount
EUR,catalog,1,patata-baby-al-vapor-para-microondas-el-mercado-carrefour-bolsa-de-400-g,492575,8431876291223,1.19,carrefour,cat20002-productos-frescos,1,492575,vc4aecomm-492575,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,2,jengibre-ecologico-200-g,080049,8429736446661,1.69,,cat20002-productos-frescos,1,080049,prod1000454,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,3,jamon-cocido-extra-en-finas-lonchas-carrefour-el-mercado-sin-gluten-200-g,050697,8431876327595,2.19,carrefour,cat20002-productos-frescos,1,050697,vc4aecomm-050697,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,4,calabaza-cortada-carrefour-500-g,462667,8431876320305,1.95,carrefour,cat20002-productos-frescos,1,462667,vc4aecomm-462667,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,5,salchichon-extra-revilla-sin-gluten-65-g,699225,8410320275996,1.09,revilla,cat20002-productos-frescos,1,699225,vc4aecomm-699225,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,6,mortadela-clasica-en-lonchas-campofrio-sin-gluten-95-g,695380,8410320001847,0.99,cuidat,cat20002-productos-frescos,1,695380,vc4aecomm-695380,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,7,pechuga-de-pavo-natural-asada-al-corte-frial-sin-gluten-y-sin-lactosa-150-g-aprox,242516,2963354000004,2.54,,cat20002-productos-frescos,1,242516,590503830,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,0.44
EUR,catalog,8,berlinas-de-azucar-carrefour-4-ud,095601,2969323000006,1.35,carrefour,cat20002-productos-frescos,1,095601,696602450,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,9,salchichas-classic-wieners-oscar-mayer-sin-gluten-200-g,003292,8410486078394,1.25,oscar-mayer,cat20002-productos-frescos,1,003292,521031119,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/2unYrLHkBODnG8idXxbgV4SUuuw_ahora-mas-barato,,
EUR,catalog,10,burgermeat-original-de-vacuno-carrefour-el-mercado-2x180-g,053271,8431876327939,4.79,el-mercado,cat20002-productos-frescos,1,053271,vc4aecomm-053271,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,11,queso-de-vaca-tierno-provolone-con-oregano-carrefour-extra-pieza-de-150-g,688449,8431876291247,1.93,carrefour,cat20002-productos-frescos,1,688449,vc4aecomm-688449,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,12,pechuga-de-pavo-en-finas-lonchas-el-pozo-bienstar-sin-gluten-y-sin-lactosa-65-g,710670,8410843012566,0.99,el-pozo,cat20002-productos-frescos,1,710670,vc4aecomm-710670,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,13,brioche-trenzado-400-g,158038,8431876353112,3.79,carrefour,cat20002-productos-frescos,1,158038,prod1120125,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,14,kiwi-verde-carrefour-750-g,624991,8431876301878,2.25,carrefour,cat20002-productos-frescos,1,624991,vc4aecomm-624991,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,15,zumo-de-naranja-recien-exprimido-carrefour-250-ml,444973,8431876269925,1.99,carrefour,cat20002-productos-frescos,1,444973,vc4aecomm-444973,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,16,endivia-carrefour-350-g,235375,8431876022568,1.45,carrefour,cat20002-productos-frescos,1,235375,vc4aecomm-235375,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,17,mini-redondos-de-chocolate-carrefour-160-g,906655,8431876261714,1.79,carrefour,cat20002-productos-frescos,1,906655,800535021,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,18,manzana-roja-1-kg-aprox,261964,2921820000002,2.25,circulo-de-calidad,cat20002-productos-frescos,1,261964,529921823,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,19,pan-de-la-abuela-integral-100,550656,8431876296488,1.64,carrefour,cat20002-productos-frescos,1,550656,vc4aecomm-550656,carrefour,carrefour,home_delivery|drive,,pieza|en-rebanadas,
EUR,catalog,20,calabaza-sepallo-carrefour-2-kg-aprox,462664,2954080000000,4.1,carrefour,cat20002-productos-frescos,1,462664,vc4aecomm-462664,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,21,queso-rallado-en-polvo-el-caserio-80-g,167043,7622201107437,1.7,el-caserio,cat20002-productos-frescos,1,167043,vc4aecomm-167043,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,22,fiambre-de-york-sandwich-en-lonchas-carrefour-el-mercado-sin-gluten-300-g,710699,8431876282504,2.05,carrefour,cat20002-productos-frescos,1,710699,vc4aecomm-710699,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,23,queso-mozzarella-italiana-galbani-125-g,066871,8000430133257,2.09,galbani,cat20002-productos-frescos,1,066871,521030592,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,24,ensalada-gourmet-carrefour-el-mercado-200-g,261723,8431876034691,1.15,carrefour,cat20002-productos-frescos,1,261723,521032378,carrefour,carrefour,home_delivery|drive,,,
