currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,discount
EUR,catalog,1,zumo-tropical-original-bifrutas-botella-1-l,114854,8410128270070,2.29,bifrutas,cat20003-bebidas,1,114854,525973460,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,zumo-de-manzana-carrefour-classic-pack-de-6-briks-de-20-cl,409612,3560070750443,1.3,carrefour,cat20003-bebidas,1,409612,704502395,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,cerveza-ambar-lager-especial-pack-de-9-latas-de-33-cl,491396,8410700001535,7.83,ambar,cat20003-bebidas,1,491396,538002240,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,0.12
EUR,catalog,4,cider-ladron-de-manzanas-lata-33-cl,838573,8410590710012,1.61,ladron-de-manzanas,cat20003-bebidas,1,838573,prod590264,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,refresco-de-naranja-fanta-con-gas-pack-de-2-botellas-de-2-l,361229,5000112575385,3.0,fanta-naranja,cat20003-bebidas,1,361229,520660539,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,0.7
EUR,catalog,6,coca-cola-zero-azucar-sin-cafeina-pack-2-botellas-2-l,940665,5449000096203,4.0,coca-cola-zero-scaf,cat20003-bebidas,1,940665,811813944,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,monster-energy-zero-bebida-energetica-sin-azucar-lata-50-cl,936866,5060335632272,1.79,monster,cat20003-bebidas,1,936866,814300409,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,cerveza-mahou-rose-lata-33-cl,166285,8411327010436,0.96,mahou,cat20003-bebidas,1,166285,vc4aecomm-166285,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,royal-bliss-bohemian-berry-sensation-lata-25-cl,377908,5449000300843,0.8,royal-bliss,cat20003-bebidas,1,377908,vc4aecomm-377908,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,10,coca-cola-zero-azucar-pack-24-latas-33-cl,692745,5449000136909,19.2,coca-cola-zero,cat20003-bebidas,1,692745,521028147,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,3.0
EUR,catalog,11,vino-blanco-de-mesa-don-simon-brik-1-l,000174,8410261273105,1.57,don-simon,cat20003-bebidas,1,000174,520661418,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,whisky-dewars-white-label-escoces-70-cl,000305,5000277000906,15.45,dewars,cat20003-bebidas,1,000305,521028097,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,aquarius-sabor-naranja-zero-azucar-sin-calorias-botella-15-l,197236,5449000171795,1.95,aquarius-zero,cat20003-bebidas,1,197236,546003745,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,cerveza-el-aguila-sin-filtrar-00-alcohol-botella-33-cl,360268,8410590310021,0.99,el-aguila,cat20003-bebidas,1,360268,vc4aecomm-360268,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,pepsi-zero-azucar-pack-de-2-botellas-de-175-cl,689343,8410494301507,3.35,pepsi-zero,cat20003-bebidas,1,689343,vc4aecomm-689343,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_5-dto,
EUR,catalog,16,agua-mineral-natural-cabreiroa-tapon-deportivo-50-cl,183428,8411902004034,0.72,cabreiroa,cat20003-bebidas,1,183428,prod810533,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,17,ginger-ale-schweppes-lata-25-cl,969258,8414100333340,0.97,schweppes,cat20003-bebidas,1,969258,833501764,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,cerveza-victoria-de-malaga-pack-12-latas-33-cl,892579,8410793226433,6.0,victoria,cat20003-bebidas,1,892579,793945611,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,2.79
EUR,catalog,19,zumo-de-naranja-carrefour-brik-1-l,450787,8431876059656,2.05,carrefour,cat20003-bebidas,1,450787,521030036,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,carrefour-sensation-isofresh-bebida-isotonica-sabor-naranja-botella-15-l,309183,3560070596010,0.99,carrefour,cat20003-bebidas,1,309183,657201697,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,21,bebida-de-melocoton-carrefour-classic-sin-azucar-pack-de-6-briks-de-20-cl,855241,3560071156763,1.74,carrefour,cat20003-bebidas,1,855241,prod730835,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,red-bull-bebida-energetica-pack-8-latas-25-cl,738587,9002490206130,9.85,red-bull,cat20003-bebidas,1,738587,520660777,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,vino-blanco-carrefour-pack-3-brik-20-cl,004060,8431876114676,1.45,carrefour,cat20003-bebidas,1,004060,546003439,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,bitter-kas-zero-lata-33-cl,025295,8410494302429,1.1,bitter-kas,cat20003-bebidas,1,025295,vc4aecomm-025295,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_5-dto,
