currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,discount
EUR,catalog,1,panales-dodot-sensitive-t4-10-15-kg-48-ud,077971,8700216197915,30.0,dodot-sensitive-extra,cat20006-bebe,1,directo/sobre-producto/_2x1-acumula,077971,vc4a-6085118,carrefour,carrefour,home_delivery|drive,0.9
EUR,catalog,2,preparado-de-manzana-platano-arandanos-y-avena-desde-6-meses-ecologico-my-carrefour-baby-bio-sin-gluten-y-sin-azucar-anadido-pack-de-4-unidades-de-100-g,126426,8431876343458,2.79,carrefour-baby,cat20006-bebe,1,,126426,vc4aecomm-126426,carrefour,carrefour,home_delivery|drive,
EUR,catalog,3,bolsita-de-naranja-platano-pera-y-galleta-hero-mi-fruta-sin-azucar-anadido-100-g,043802,8410175036551,1.17,hero,cat20006-bebe,1,,043802,2003043775,carrefour,carrefour,home_delivery|drive,
EUR,catalog,4,tarrito-de-zanahorias-baby-con-ternera-desde-6-meses-hero-baby-sin-gluten-235-g,002404,8410175050229,1.75,hero,cat20006-bebe,1,,002404,2003043762,carrefour,carrefour,home_delivery|drive,
EUR,catalog,5,gusanitos-con-fresa-y-platano-ecologicos-smileat-sin-gluten-25-g,757324,8437017636359,1.58,smileat,cat20006-bebe,1,directo/sobre-producto/_2x1-acumula,757324,vc4aecomm-757324,carrefour,carrefour,home_delivery|drive,
EUR,catalog,6,algodon-bebe-sensitive-carrefour-baby-100-ud,956300,3560070997985,1.93,carrefour-baby,cat20006-bebe,1,,956300,2003044109,carrefour,carrefour,home_delivery|drive,
EUR,catalog,7,esponja-suave-bebe-carrefour-1-ud,331355,8431876272321,0.9,carrefour,cat20006-bebe,1,,331355,fprod1280749,carrefour,carrefour,home_delivery|drive,
EUR,catalog,8,tarrito-de-verduritas-con-delicias-de-pavo-desde-6-meses-hero-baby-sin-gluten-235-g,189716,8410175052421,1.75,hero,cat20006-bebe,1,,189716,2003043838,carrefour,carrefour,home_delivery|drive,
EUR,catalog,9,bolsita-de-manzana-platano-y-zanahoria-ecologico-hero-solo-sin-gluten-100-g,178361,8410175066015,1.62,hero-solo,cat20006-bebe,1,directo/sobre-producto/_2-unidad--50,178361,vc4a-5009594,carrefour,carrefour,home_delivery|drive,
EUR,catalog,10,bolsita-de-frutas-variadas-nestle-happy-fruits-sin-azucar-anadido-110-g,625996,7613287218704,1.14,nestle,cat20006-bebe,1,directo/sobre-producto/_2-unidad--50,625996,vc4aecomm-625996,carrefour,carrefour,home_delivery|drive,
EUR,catalog,11,bastoncillos-de-algodon-carrefour-baby-60-ud-,252690,3560071351762,1.05,carrefour-baby,cat20006-bebe,1,,252690,vc4aecomm-252690,carrefour,carrefour,home_delivery|drive,
EUR,catalog,12,tarrito-de-verduritas-con-merluza-desde-6-meses-hero-baby-sin-gluten-235-g,002421,8410175052223,1.75,hero,cat20006-bebe,1,,002421,2003043765,carrefour,carrefour,home_delivery|drive,
EUR,catalog,13,tarrito-de-menestra-de-cordero-desde-6-meses-nutriben-potitos-sin-gluten-235-g,407257,8430094313434,1.84,nutriben,cat20006-bebe,1,directo/sobre-producto/_2-unidad--50,407257,vc4aecomm-407257,carrefour,carrefour,home_delivery|drive,
EUR,catalog,14,toallitas-bebe-camomila-my-carrefour-baby-80-ud,594617,3560071285975,1.69,carrefour-baby,cat20006-bebe,1,,594617,vc4aecomm-594617,carrefour,carrefour,home_delivery|drive,
EUR,catalog,15,toallitas-de-bebe-dodot-sensitive-recambio-4x54-uds,070160,8410108122535,10.39,dodot-sensitive,cat20006-bebe,1,,070160,2003352308,carrefour,carrefour,home_delivery|drive,
EUR,catalog,16,toallitas-carrefour-baby-milky-x72,674099,3560071140632,1.37,carrefour-baby,cat20006-bebe,1,,674099,2002916191,carrefour,carrefour,home_delivery|drive,
EUR,catalog,17,tarrito-de-verduras-con-pollo-desde-6-meses-nutriben-potitos-sin-gluten-235-g,407256,8430094313250,1.84,nutriben,cat20006-bebe,1,directo/sobre-producto/_2-unidad--50,407256,vc4aecomm-407256,carrefour,carrefour,home_delivery|drive,
EUR,catalog,18,tarrito-de-arroz-con-pollo-desde-6-meses-hero-baby-sin-gluten-pack-de-6-unidades-de-235-g,667616,8410175009760,10.35,hero,cat20006-bebe,1,directo/sobre-producto/_2x1-acumula,667616,vc4a-7793487,carrefour,carrefour,home_delivery|drive,
EUR,catalog,19,bolsita-de-fresa-y-platano-desde-6-meses-ecologico-smileat-sin-gluten-100-g,497358,8437014583755,1.81,smileat,cat20006-bebe,1,,497358,vc4a-3070182,carrefour,carrefour,home_delivery|drive,
EUR,catalog,20,preparado-lacteo-infantil-de-crecimiento-desde-12-meses-nestle-nativa-3-sin-azucar-anadido-brik-1-l,372211,8410100014289,2.39,nativa,cat20006-bebe,1,directo/sobre-producto/_2-unidad--50,372211,vc4a-11392908,carrefour,carrefour,home_delivery|drive,
EUR,catalog,21,postre-lacteo-de-natillas-desde-6-meses-nestle-yogolino-sin-gluten-pack-de-4-unidades-de-100-g,256025,7613033689635,3.19,yogolino,cat20006-bebe,1,directo/sobre-producto/_2-unidad--50,256025,2003043844,carrefour,carrefour,home_delivery|drive,
EUR,catalog,22,postre-lacteo-de-fresa-y-manzana-desde-6-meses-nestle-yogolino-sin-gluten-y-sin-azucar-anadido-100-g,493257,7613287785398,1.41,yogolino,cat20006-bebe,1,,493257,vc4aecomm-493257,carrefour,carrefour,home_delivery|drive,
EUR,catalog,23,tarrito-de-crema-bechamel-con-lenguado-desde-6-meses-hero-baby-sin-gluten-235-g,002419,8410175050526,1.75,hero,cat20006-bebe,1,,002419,2003352305,carrefour,carrefour,home_delivery|drive,
EUR,catalog,24,snack-de-zanahoria-y-maiz-desde-10-meses-ecologico-hero-solo-sin-gluten-40-g,509655,8410175073020,2.69,hero-solo,cat20006-bebe,1,,509655,vc4aecomm-509655,carrefour,carrefour,home_delivery|drive,
