currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,discount
EUR,catalog,1,tarrito-de-ternera-con-verduras-desde-6-meses-ecologico-smileat-sin-gluten-230-g,021167,8437014583090,2.59,smileat,cat20006-bebe,1,021167,2037536551,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,bolsita-frutas-y-galletas-be-plus-120-g,433483,8410087648774,0.98,be-plus,cat20006-bebe,1,433483,vc4aecomm-433483,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,panales-dodot-sensitive-t3-7-11-kg-56-ud,078054,8700216197953,30.0,dodot-sensitive-extra,cat20006-bebe,1,078054,vc4a-6116853,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,0.9
EUR,catalog,4,preparado-lacteo-infantil-de-crecimiento-con-cereales-y-cacao-de-12-a-36-meses-puleva-peques-3-pack-de-3-unidades-de-200-ml,634006,8411700412314,1.99,puleva,cat20006-bebe,1,634006,2003043956,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,5,pants-optima-adsorption-my-carrefour-baby-t6-16-kg-36-ud,523681,3560071290634,7.27,carrefour-baby,cat20006-bebe,1,523681,vc4a-11290553,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,preparado-lacteo-infantil-con-triptofano-puleva-peques-sin-gluten-sin-lactosa-y-sin-azucar-anadido-brik-1-l,360149,8410285102047,2.15,puleva,cat20006-bebe,1,360149,vc4aecomm-360149,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,panales-carrefour-baby-softprotect-talla-1-2-5-kg-26-ud,052221,3560071172916,5.99,carrefour-baby-soft--protect,cat20006-bebe,1,052221,vc4a-5952883,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,toallitas-para-bebe-delicate-carrefour-my-baby-24-ud,621266,3560071314316,0.71,carrefour,cat20006-bebe,1,621266,vc4aecomm-621266,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,9,papilla-infantil-desde-6-meses-8-cereales-con-galleta-maria-nestle-sin-azucar-anadido-950-g,206309,8445290686770,6.85,nestle,cat20006-bebe,1,206309,vc4aecomm-206309,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,1.04
EUR,catalog,10,papilla-infantil-desde-6-meses-galleta-maria-liquida-nestle-pack-de-2-unidades-de-250-ml,694526,7613031274727,2.59,nestle,cat20006-bebe,1,694526,2003043981,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,11,galletas-de-espelta-avena-y-cacao-desde-10-meses-ecologicas-smileat-sin-azucar-anadido-220-g,302204,8437017636748,4.69,smileat,cat20006-bebe,1,302204,vc4aecomm-302204,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,
EUR,catalog,12,tarrito-de-verduras-con-pescadilla-a-la-crema-desde-6-meses-hero-buenas-noches-sin-gluten-190-g,514316,8410175090812,1.62,hero,cat20006-bebe,1,514316,vc4aecomm-514316,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,panales-dodot-bebe-seco-xxl-t4-9-14-kg-164-ud,799256,8006540592045,48.1,dodot-bebe-seco,cat20006-bebe,1,799256,vc4aecomm-799256,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,panales-dodot-t6-13-18-kg-140-ud,499503,8700216493536,53.4,dodot-bebe-seco,cat20006-bebe,1,499503,vc4aecomm-499503,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,papilla-infantil-desde-6-meses-8-cereales-con-miel-nestle-950-g,199271,8445290686749,6.85,nestle,cat20006-bebe,1,199271,vc4aecomm-199271,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,1.04
EUR,catalog,16,postre-lacteo-fresa-y-platano-desde-6-meses-nestle-yogolino-sin-gluten-y-sin-azucar-anadido-pack-de-4-unidades-de-100-g,220348,7613036886536,3.19,yogolino,cat20006-bebe,1,220348,vc4a-7375071,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
