currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon
EUR,catalog,1,rabas-enharinadas-pescanova-400-g,047905,8410063011011,4.99,pescanova,cat21449123-congelados,1,047905,521033724,carrefour,carrefour,home_delivery|drive,
EUR,catalog,2,base-de-pizza-carrefour-classic-sin-gluten-pack-de-2-bases-de-200-g,640083,8431876296440,4.25,carrefour,cat21449123-congelados,1,640083,vc4aecomm-640083,carrefour,carrefour,home_delivery|drive,
EUR,catalog,3,canelones-de-espinacas-y-queso-carrefour-500-g,512979,3560071082956,2.99,carrefour,cat21449123-congelados,1,512979,vc4aecomm-512979,carrefour,carrefour,home_delivery|drive,
EUR,catalog,4,judias-verdes-ecologicas-carrefour-bio-600-g,472744,3270190207337,2.39,carrefour-bio,cat21449123-congelados,1,472744,vc4aecomm-472744,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,5,coulant-de-chocolate-extra-carrefour-180-g,453965,8431876310443,2.99,carrefour,cat21449123-congelados,1,453965,vc4aecomm-453965,carrefour,carrefour,home_delivery|drive,
EUR,catalog,6,pizza-salame-vegano-ristorante-dr-oetker-295-g-,329825,4001724043393,3.75,ristorante,cat21449123-congelados,1,329825,vc4aecomm-329825,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,7,patatas-mediterrean-mccain-750-g,926199,8710438040302,3.95,mccain,cat21449123-congelados,1,926199,809710839,carrefour,carrefour,home_delivery|drive,
EUR,catalog,8,bombon-helado-intense-dark-70-cacao-collection-magnum-sin-gluten-3-ud,193192,8714100691069,5.29,magnum,cat21449123-congelados,1,193192,prod70685,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,9,granizado-de-limon-carrefour-sensation-sin-gluten-pack-de-6-unidades-de-200-ml,153078,8431876336733,2.59,carrefour,cat21449123-congelados,1,153078,vc4aecomm-153078,carrefour,carrefour,home_delivery|drive,
EUR,catalog,10,moussaka-berenjena-pollo-y-cerdo-sensation-carrefour-500-g,202061,8431876329131,4.05,carrefour,cat21449123-congelados,1,202061,vc4aecomm-202061,carrefour,carrefour,home_delivery|drive,
EUR,catalog,11,gambon-krustasur-2-kg,041756,2951243000006,23.9,,cat21449123-congelados,1,041756,525888013,carrefour,carrefour,home_delivery|drive,
EUR,catalog,12,nuggets-originales-heura-400-g,014747,8437017034889,8.79,hera,cat21449123-congelados,1,014747,vc4aecomm-014747,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,13,mini-bombon-helado-intense-dark-70-cacao-collection-magnum-6-ud,192987,8714100637562,6.25,magnum,cat21449123-congelados,1,192987,prod64175,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,14,chipirones-rebozados-al-huevo-pescanova-250-g,493710,8410063026510,4.45,pescanova,cat21449123-congelados,1,493710,521031318,carrefour,carrefour,home_delivery|drive,
EUR,catalog,15,helado-de-chocolate-cookies-carrefour-sensation-300-g,024031,8431876302967,2.65,carrefour,cat21449123-congelados,1,024031,vc4aecomm-024031,carrefour,carrefour,home_delivery|drive,
EUR,catalog,16,bombon-helado-sunlover-double-magnum-sin-gluten-3-ud,151988,8711327582408,5.45,magnum,cat21449123-congelados,1,151988,vc4aecomm-151988,carrefour,carrefour,home_delivery|drive,
EUR,catalog,17,falafel-a-base-de-garbanzos-y-hortalizas-vegano-garden-gourmet-190-g,395327,8445291339842,4.25,garden-gourmet,cat21449123-congelados,1,395327,fprod1460273,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,18,nuggets-de-proteina-de-guisante-y-trigo-green-cuisine-findus-250-g,568911,8434702001188,4.89,green-cuisine,cat21449123-congelados,1,568911,vc4aecomm-568911,carrefour,carrefour,home_delivery|drive,
EUR,catalog,19,cordon-bleu-recetas-crujientes-la-cocinera-376-g,003440,8434702001720,6.45,la-cocinera,cat21449123-congelados,1,003440,521031508,carrefour,carrefour,home_delivery|drive,
EUR,catalog,20,tinta-de-sepia-carrefour-classic-sin-gluten-pack-de-4-unidades-de-4-g,531637,8431876290554,0.99,carrefour,cat21449123-congelados,1,531637,vc4aecomm-531637,carrefour,carrefour,home_delivery|drive,
EUR,catalog,21,surtido-de-helados-caramel-collection-hagen-dazs-4-ud,173320,3415581545715,8.15,haagen-dazs,cat21449123-congelados,1,173320,prod1120617,carrefour,carrefour,home_delivery|drive,
EUR,catalog,22,bombon-helado-de-galleta-caramelizada-con-chocolate-blanco-lotus-biscoff-3-ud,638651,5410126487008,4.89,lotus,cat21449123-congelados,1,638651,vc4aecomm-638651,carrefour,carrefour,home_delivery|drive,
EUR,catalog,23,bao-buns-de-pato-itsu-180-g,294609,5060262487464,6.25,itsu,cat21449123-congelados,1,294609,vc4aecomm-294609,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,24,croquetas-de-pollo-campero-la-cocina-de-senen-sin-gluten-240-g,560807,8437023954546,4.45,la-cocina-de-senen,cat21449123-congelados,1,560807,vc4aecomm-560807,carrefour,carrefour,home_delivery|drive,
