currency,item_list_name,index,item_name,item_id,item_ean,price,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,discount,item_brand
EUR,catalog,1,gambon-salvaje-2-kg,041744,8420050003219,17.98,cat21449123-congelados,1,directo/sobre-producto/_super-precio,041744,526010619,carrefour,carrefour,home_delivery|drive,3.91,
EUR,catalog,2,solomillo-de-pollo-kentucky-fripozo-250-g,547295,8420321679624,3.65,cat21449123-congelados,1,,547295,vc4aecomm-547295,carrefour,carrefour,home_delivery|drive,,fripozo
EUR,catalog,3,pizza-4-quesos-forno-di-pietra-buitoni-350-g,795418,4009233002894,3.65,cat21449123-congelados,1,,795418,527031590,carrefour,carrefour,home_delivery|drive,,buitoni
EUR,catalog,4,guisante-fino-findus-400-g,667947,8410092020237,3.09,cat21449123-congelados,1,,667947,617901853,carrefour,carrefour,home_delivery|drive,,findus
EUR,catalog,5,carne-de-mejillon-cocida-275-g,132373,8435061602191,2.35,cat21449123-congelados,1,,132373,vc4aecomm-132373,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,preparado-vegetariano-a-base-de-proteinas-de-soja-y-trigo-classic-filet-garden-gourmet-150-g,519908,8445291599383,4.15,cat21449123-congelados,1,directo/sobre-producto/_2x1-acumula,519908,vc4aecomm-519908,carrefour,carrefour,home_delivery|drive,,garden-gourmet
EUR,catalog,7,acelgas-en-hoja-carrefour-400-g,231889,8431876004823,1.34,cat21449123-congelados,1,,231889,521031620,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,8,pizza-de-pollo-ristorante-dr-oetker-355-g,242631,4001724039174,3.75,cat21449123-congelados,1,directo/sobre-producto/_2x1-acumula,242631,529043345,carrefour,carrefour,home_delivery|drive,,ristorante
EUR,catalog,9,gamba-blanca-cruda-congelado-carrefour-extra-400-g,287102,8431876207071,7.35,cat21449123-congelados,1,,287102,577501577,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,10,helado-de-fresa-con-trozos-carrefour-500-g,231511,3560070820825,3.15,cat21449123-congelados,1,,231511,521031880,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,11,taco-de-bacalao-extra-al-punto-de-sal-congelado-400-g,754221,8431876223293,7.49,cat21449123-congelados,1,,754221,640301723,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,12,mini-pizzas-3-quesos-carrefour-270-g,104377,3560070694501,2.65,cat21449123-congelados,1,,104377,651302988,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,13,albondigas-garden-gourmet-200-g,976544,8445291376540,3.29,cat21449123-congelados,1,directo/sobre-producto/_2x1-acumula,976544,856310507,carrefour,carrefour,home_delivery|drive,,garden-gourmet
EUR,catalog,14,calamar-crudo-troceado-y-limpio-de-la-india-congelado-carrefour-475-g,602600,8431876290769,5.09,cat21449123-congelados,1,,602600,vc4aecomm-602600,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,15,pizza-tonno-casa-di-mama-dr-oetker-435-g,790619,4001724038719,4.59,cat21449123-congelados,1,directo/sobre-producto/_2x1-acumula,790619,527031520,carrefour,carrefour,home_delivery|drive,,casa-di-mama
EUR,catalog,16,bombon-helado-mini-magnum-classic-6-ud,328734,8711327638303,2.99,cat21449123-congelados,1,directo/sobre-producto/_6-dto,328734,vc4aecomm-328734,carrefour,carrefour,home_delivery|drive,,magnum
EUR,catalog,17,tarta-helada-al-whisky-carrefour-535-g,813771,3560070636310,2.85,cat21449123-congelados,1,,813771,641602365,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,18,mezcla-de-setas-cocinadas-con-ajo-y-perejil-carrefour-450-g,961632,3560070327805,3.05,cat21449123-congelados,1,,961632,827513119,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,19,bombon-mini-helado-de-vainilla-almond-magnum-sin-gluten-6-ud,698963,8711327611924,5.29,cat21449123-congelados,1,,698963,521031734,carrefour,carrefour,home_delivery|drive,,magnum
EUR,catalog,20,espinacas-hojas-en-porciones-carrefour-1-kg,666796,3560070140305,1.99,cat21449123-congelados,1,,666796,546501874,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,21,helado-de-lima-limon-calippo-sin-gluten-5-ud,054507,8722700231981,5.15,cat21449123-congelados,1,directo/sobre-producto/_6-dto,054507,521031795,carrefour,carrefour,home_delivery|drive,,calippo
EUR,catalog,22,pizza-de-pepperoni-goodfellas-332-g,154385,3599741006961,3.99,cat21449123-congelados,1,,154385,vc4aecomm-154385,carrefour,carrefour,home_delivery|drive,,goodfelllas
EUR,catalog,23,filete-de-bacalao-procedente-de-pesca-sostenible-al-punto-de-sal-ultracongelado-carrefour-400-g,302943,3560071018597,6.05,cat21449123-congelados,1,,302943,589601121,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,24,espinacas-con-pasas-y-pinones-salteados-findus-400-g,668917,8434702003502,4.25,cat21449123-congelados,1,,668917,617901915,carrefour,carrefour,home_delivery|drive,,findus
