currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,discount
EUR,catalog,1,leche-desnatada-0-mg-con-calcio-movit-pascual-brik-1-l,167551,8410128010195,1.39,pascual-movit,cat20001-la-despensa,1,directo/sobre-producto/_super-precio,167551,521007008,carrefour,carrefour,home_delivery|drive,0.44
EUR,catalog,2,yogur-griego-natural-light-carrefour-extra-1-kg,673393,8431876295900,2.25,carrefour,cat20001-la-despensa,1,directo/sobre-producto/_2-unidad--50,673393,vc4aecomm-673393,carrefour,carrefour,home_delivery|drive,
EUR,catalog,3,masa-pizza-carrefour-260-g,683885,3245412801013,1.21,carrefour,cat20001-la-despensa,1,,683885,521030346,carrefour,carrefour,home_delivery|drive,
EUR,catalog,4,alubia-cocida-categoria-extra-luengo-400-g,032625,8410505271010,1.31,luengo,cat20001-la-despensa,1,directo/sobre-producto/_2-unidad--50,032625,546305860,carrefour,carrefour,home_delivery|drive,
EUR,catalog,5,yogur-liquido-fresa-y-platano-carrefour-classicsin-gluten-1-kg,256890,8431876304022,1.35,carrefour,cat20001-la-despensa,1,,256890,prod300427,carrefour,carrefour,home_delivery|drive,
EUR,catalog,6,cafe-molido-mezcla-carrefour-classic-250-g,236783,8431876027693,2.35,carrefour,cat20001-la-despensa,1,,236783,521003035,carrefour,carrefour,home_delivery|drive,
EUR,catalog,7,aceite-de-oliva-suave-04-la-masia-garrafa-5-l,043143,8432580111050,19.95,la-masia,cat20001-la-despensa,1,directo/sobre-producto/_super-precio,043143,521033467,carrefour,carrefour,home_delivery|drive,5.9
EUR,catalog,8,wraps-tortillas-de-trigo-carrefour-sensation-sin-aceite-de-palma-6-ud,696610,8431876300055,1.13,carrefour,cat20001-la-despensa,1,,696610,vc4aecomm-696610,carrefour,carrefour,home_delivery|drive,
EUR,catalog,9,cafe-soluble-natural-carrefour-classic--200-g,230408,8431876006438,3.95,carrefour,cat20001-la-despensa,1,,230408,521003045,carrefour,carrefour,home_delivery|drive,
EUR,catalog,10,pizza-prosciutto-carrefour-330-g,841122,3560071092788,2.09,carrefour,cat20001-la-despensa,1,,841122,prod600094,carrefour,carrefour,home_delivery|drive,
EUR,catalog,11,pan-de-molde-familiar-sin-azucar-anadido-bimbo-700-g,377878,8412600012192,2.35,bimbo,cat20001-la-despensa,1,,377878,prod870005,carrefour,carrefour,home_delivery|drive,
EUR,catalog,12,leche-semidesnatada-kaiku-sin-lactosa-brik-1-l,065482,8410981010103,1.39,kaiku,cat20001-la-despensa,1,,065482,526715384,carrefour,carrefour,home_delivery|drive,
EUR,catalog,13,galletas-caramelizadas-lotus-biscoff-250-g,230466,5410126716016,1.99,lotus,cat20001-la-despensa,1,,230466,544101824,carrefour,carrefour,home_delivery|drive,
EUR,catalog,14,crackers-carrefour-250-g,507868,8431876070996,0.94,carrefour,cat20001-la-despensa,1,,507868,521002659,carrefour,carrefour,home_delivery|drive,
EUR,catalog,15,sal-marina-yodada-fina-classic-carrefour-1-kg,234952,8431876010534,0.4,carrefour,cat20001-la-despensa,1,,234952,521012790,carrefour,carrefour,home_delivery|drive,
EUR,catalog,16,galletas-de-cacao-rellenas-de-crema-blackroll-carrefour-classic-220-g,973971,8431876248296,0.86,carrefour,cat20001-la-despensa,1,,973971,840300661,carrefour,carrefour,home_delivery|drive,
EUR,catalog,17,cafe-latte-macchiato-caramelo-carrefour-sensation-sin-gluten-250-ml,322772,8431876276466,0.79,carrefour,cat20001-la-despensa,1,,322772,fprod1260228,carrefour,carrefour,home_delivery|drive,
EUR,catalog,18,bocaditos-al-cacao-carrefour-classic-500-g,069000,8431876261660,2.15,carrefour,cat20001-la-despensa,1,,069000,682401715,carrefour,carrefour,home_delivery|drive,
EUR,catalog,19,masa-para-empanadillas-y-postres-buitoni-160-g,007260,8410239040333,1.25,buitoni,cat20001-la-despensa,1,,007260,521030338,carrefour,carrefour,home_delivery|drive,
EUR,catalog,20,pizza-5-quesos-con-salsa-queso-semicurado-pizza--salsa-campofrio-365-g,624563,8410320033527,3.05,campofrio,cat20001-la-despensa,1,directo/sobre-producto/_2-unidad--50,624563,521033046,carrefour,carrefour,home_delivery|drive,
EUR,catalog,21,pan-de-burger-maxi-classic-carrefour-4-ud,447078,8431876053005,0.83,carrefour,cat20001-la-despensa,1,,447078,521007180,carrefour,carrefour,home_delivery|drive,
EUR,catalog,22,nata-carrefour-200-ml,118128,3560071175115,1.18,carrefour,cat20001-la-despensa,1,,118128,526627012,carrefour,carrefour,home_delivery|drive,
EUR,catalog,23,aceite-de-oliva-intenso-1-la-masia-garrafa-5-l,036841,8413800031303,19.95,la-masia,cat20001-la-despensa,1,directo/sobre-producto/_super-precio,036841,521028095,carrefour,carrefour,home_delivery|drive,5.9
EUR,catalog,24,levadura-fresca-levanova-sin-gluten-pack-de-2-sobres-de-25-g-,924982,8436005821753,0.49,levanova,cat20001-la-despensa,1,,924982,805763827,carrefour,carrefour,home_delivery|drive,
