currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,discount
EUR,catalog,1,aceite-de-oliva-intenso-1-la-espanola-1-l,964037,8410660302017,6.49,la-espanola,cat20001-la-despensa,1,directo/sobre-producto/_2x1-acumula,964037,828922423,carrefour,carrefour,home_delivery|drive,0.9
EUR,catalog,2,yogur-liquido-sabor-fresa-danone-danonino-pack-de-4-bolsitas-de-70-g,189727,8410500020453,2.55,danonino,cat20001-la-despensa,1,directo/sobre-producto/_2x1-acumula,189727,653701722,carrefour,carrefour,home_delivery|drive,
EUR,catalog,3,petit-sabor-fresa-y-platano-danone-danonino-sin-gluten-pack-de-6-unidades-de-50-g,402094,8410500015794,1.45,danonino,cat20001-la-despensa,1,directo/sobre-producto/_5-dto,402094,702201839,carrefour,carrefour,home_delivery|drive,
EUR,catalog,4,salmorejo-fresco-garcia-millan-1-l,214148,8437004394415,4.05,garcia-millan,cat20001-la-despensa,1,directo/sobre-producto/_2-unidad--50,214148,prod1170073,carrefour,carrefour,home_delivery|drive,
EUR,catalog,5,bifidus-desnatado-con-trozos-de-melocoton-y-maracuya-sin-azucar-anadido-carrefour-pack-de-4-unidades-de-125-g,953662,3560071003951,1.23,carrefour,cat20001-la-despensa,1,,953662,819115341,carrefour,carrefour,home_delivery|drive,
EUR,catalog,6,chocolate-negro-72-con-pepitas-de-cacao-tostadas-caramelizadas-carrefour-original-100-g,556020,8431876081923,2.35,carrefour,cat20001-la-despensa,1,,556020,521004098,carrefour,carrefour,home_delivery|drive,
EUR,catalog,7,nachos-al-toque-de-sal-dippas-doritos-150-g,627399,8410199024701,2.15,doritos,cat20001-la-despensa,1,directo/sobre-producto/_5-dto,627399,vc4aecomm-627399,carrefour,carrefour,home_delivery|drive,
EUR,catalog,8,galletas-rellenas-de-crema-trio-carrefour-classic-2358-g,333563,8431876276930,1.9,carrefour,cat20001-la-despensa,1,,333563,fprod1310024,carrefour,carrefour,home_delivery|drive,
EUR,catalog,9,surtido-de-picos-y-reganas-con-aceite-de-oliva-virgen-extra-carrefour-450-g,046138,8431876268072,1.94,carrefour,cat20001-la-despensa,1,,046138,prod930292,carrefour,carrefour,home_delivery|drive,
EUR,catalog,10,pizza-fresca-bianca-4-quesos-de-lenta-fermentacion-casa-tarradellas-400-g,625158,8410762222046,4.25,casa-tarradellas,cat20001-la-despensa,1,,625158,vc4aecomm-625158,carrefour,carrefour,home_delivery|drive,
EUR,catalog,11,lenteja-cocida-categoria-extra-luengo-400-g,032626,8410505273014,1.31,luengo,cat20001-la-despensa,1,directo/sobre-producto/_2-unidad--50,032626,546305862,carrefour,carrefour,home_delivery|drive,
EUR,catalog,12,caldo-casero-de-pollo-gallina-blanca-sin-gluten-pack-de-4-brik-de-1-l,069358,8410300349112,8.15,gallina-blanca,cat20001-la-despensa,1,,069358,682801675,carrefour,carrefour,home_delivery|drive,
EUR,catalog,13,pasta-elicoidale-garofalo-500-g,937006,8000139910180,1.86,garofalo,cat20001-la-despensa,1,,937006,814300423,carrefour,carrefour,home_delivery|drive,
EUR,catalog,14,mayonesa-hellmanns-sin-gluten-tarro-650-ml,598659,8722700024736,4.19,hellmanns,cat20001-la-despensa,1,directo/sobre-producto/_6-dto,598659,521029207,carrefour,carrefour,home_delivery|drive,
EUR,catalog,15,bonito-del-norte-en-aceite-de-oliva-consorcio-195-g,935732,8410628458930,8.29,consorcio,cat20001-la-despensa,1,directo/sobre-producto/_2x1-acumula,935732,827614047,carrefour,carrefour,home_delivery|drive,
EUR,catalog,16,postre-delicias-de-trufa-nestle-la-lechera-pack-de-2-unidades-de-125-g,780199,8435257023205,1.79,la-lechera,cat20001-la-despensa,1,,780199,772505553,carrefour,carrefour,home_delivery|drive,
EUR,catalog,17,gofre-de-chocolate-negro-carrefour-classic-pack-de-6-unidades-de-60-g,225673,8431876171082,2.45,carrefour,cat20001-la-despensa,1,,225673,544101778,carrefour,carrefour,home_delivery|drive,
EUR,catalog,18,cafe-soluble-descafeinado-carrefour-classic-200-g,230412,8431876006445,4.25,carrefour,cat20001-la-despensa,1,,230412,521003069,carrefour,carrefour,home_delivery|drive,
EUR,catalog,19,yogur-sabor-macedonia-carrefour-classic-pack-de-4-unidades-de-125-g,373116,8431876300529,0.74,carrefour,cat20001-la-despensa,1,,373116,vc4aecomm-373116,carrefour,carrefour,home_delivery|drive,
EUR,catalog,20,boquerones-carrefour-sin-gluten-80-g,497214,8431876287356,1.65,carrefour,cat20001-la-despensa,1,,497214,vc4aecomm-497214,carrefour,carrefour,home_delivery|drive,
EUR,catalog,21,fresas-de-goma-carrefour-classic-sin-gluten-200-g,614963,8431876291391,1.5,carrefour,cat20001-la-despensa,1,directo/sobre-producto/_2-unidad--50,614963,vc4aecomm-614963,carrefour,carrefour,home_delivery|drive,
EUR,catalog,22,filetes-de-caballa-de-andalucia-en-aceite-de-girasol-tejero-80-g,897892,8411735253098,1.75,tejero,cat20001-la-despensa,1,,897892,797608338,carrefour,carrefour,home_delivery|drive,
EUR,catalog,23,galletas-con-chocolate-choco-biscuits-milka-150-g,051235,7622300270469,3.59,milka,cat20001-la-despensa,1,,051235,521002891,carrefour,carrefour,home_delivery|drive,
EUR,catalog,24,mayonesa-ybarra-sin-gluten-y-sin-lactosa-tarro-450-ml,028952,8410086315288,2.35,ybarra,cat20001-la-despensa,1,,028952,521005162,carrefour,carrefour,home_delivery|drive,
