currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,discount
EUR,catalog,1,tomate-frito-carrefour-tarro-550-g,365663,8431876264838,0.88,carrefour,cat20001-la-despensa,1,365663,600805291,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,macarrones-carrefour-1-kg,226607,3560070468966,1.24,carrefour,cat20001-la-despensa,1,226607,544501833,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,leche-desnatada-president-brik-1-l,002786,8410285114897,0.95,president,cat20001-la-despensa,1,002786,521007083,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,0.19
EUR,catalog,4,pan-de-molde-con-corteza-carrefour-classic-460-g,401046,8431876344936,0.78,carrefour,cat20001-la-despensa,1,401046,vc4aecomm-401046,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,leche-semidesnatada-puleva-sin-gluten-sin-lactosa-botella-1-l,196898,8411700001600,1.42,puleva,cat20001-la-despensa,1,196898,521007020,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,cafe-molido-natural-carrefour-classic-500-g,331397,8431876275032,4.64,carrefour,cat20001-la-despensa,1,331397,fprod1280764,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,tiras-de-maiz-sabor-barbacoa-carrefour-150-g,799025,8431876332056,0.74,carrefour,cat20001-la-despensa,1,799025,521003798,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,aperitivo-sabor-mantequilla-jumpers-sin-gluten-100-g,352809,8422283930195,1.24,vidal,cat20001-la-despensa,1,352809,prod300963,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,9,bebida-de-soja-sin-azucar-anadido-carrefour-sin-gluten-brik-1-l,955592,8431876245578,0.74,carrefour,cat20001-la-despensa,1,955592,823818537,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,pan-de-molde-integral-de-trigo-con-corteza-carrefour-classic-820-g,435346,8431876355482,1.33,carrefour,cat20001-la-despensa,1,435346,vc4aecomm-435346,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,leche-desnatada-central-lechera-asturiana-sin-lactosa-brik-1-l,704408,8410297115349,1.27,central-lechera-asturiana,cat20001-la-despensa,1,704408,736814096,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,nuggets-de-pollo-carrefour-classic-500-g,694165,8431876298390,2.59,carrefour,cat20001-la-despensa,1,694165,vc4aecomm-694165,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,13,alubias-cocidas-categoria-extra-classic-carrefour-400-g,686224,8431876112788,0.8,carrefour,cat20001-la-despensa,1,686224,521005493,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,ketchup-classic-carrefour-envase-560-g,438870,3560070807543,1.07,carrefour,cat20001-la-despensa,1,438870,712515965,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,garbanzos-cocidos-sin-sal-anadida-categoria-extra-classic-carrefour-400-g,709626,8431876115871,0.75,carrefour,cat20001-la-despensa,1,709626,521005485,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,natillas-de-vainilla-danone-danet-pack-de-4-unidades-de-120-g,755797,8410500010614,1.99,danet,cat20001-la-despensa,1,755797,521029850,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,17,copa-de-chocolate-con-nata-carrefour-pack-de-4-unidades-de-115-g,249960,8431876180701,1.35,carrefour,cat20001-la-despensa,1,249960,551802081,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,pan-de-molde-integral-sin-azucar-anadido-carrefour-460-g,470192,8431876281026,0.87,carrefour,cat20001-la-despensa,1,470192,vc4aecomm-470192,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,leche-semidesnatada-lauki-brik-1-l,047822,8414700011037,1.17,lauki,cat20001-la-despensa,1,047822,521012942,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,bollito-recubierto-de-chocolate-blanco-rayado-donettes-8-ud,682487,8410022116719,2.85,donettes,cat20001-la-despensa,1,682487,vc4aecomm-682487,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,21,croissants-classic-carrefour-350-g,060506,8431876125511,1.47,carrefour,cat20001-la-despensa,1,060506,521007194,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,patatas-fritas-sabor-jamon-ruffles-sin-gluten-150-g,718769,8410199023148,2.09,ruffles,cat20001-la-despensa,1,718769,vc4aecomm-718769,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_5-dto,
EUR,catalog,23,pipas-de-girasol-gigantes-saladas-classic-carrefour-200-g,642813,8431876295245,1.22,carrefour,cat20001-la-despensa,1,642813,521003615,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,doritos-tex-mex-140-g,627395,8410199021045,1.86,doritos,cat20001-la-despensa,1,627395,vc4aecomm-627395,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_5-dto,
