currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon
EUR,catalog,1,bolsa-papel-bocadillo-fliss-30-ud,801690,8436585041077,2.09,fliss,cat20005-limpieza-y-hogar,1,801690,vc4aecomm-801690,carrefour,carrefour,home_delivery|drive,
EUR,catalog,2,ambientador-automatico-freshmatic-nenuco-recambio-air-wick-3-ud,098734,8410104155025,15.75,air-wick-freshmatic,cat20005-limpieza-y-hogar,1,098734,697806828,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,3,perfume-para-la-ropa-en-perlas-concentrado-lenor-unstoppables-lenor-195-g,570597,8700216732215,8.09,lenor,cat20005-limpieza-y-hogar,1,570597,vc4aecomm-570597,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,4,pack-2-boligrafos-tinta-base-de-aceite-super-grip-azules,139976,8422911001440,3.79,pilot,cat20005-limpieza-y-hogar,1,139976,2000880212,carrefour,carrefour,home_delivery|drive,
EUR,catalog,5,palo-para-fregona-de-acero-vileda---rojo,008125,8410435014008,4.65,vileda,cat20005-limpieza-y-hogar,1,008125,2011985936,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,6,detergente-liquido-para-la-ropa-de-bebe-frosch-baby-21-lavados,909924,4009175913609,9.65,frosch,cat20005-limpieza-y-hogar,1,909924,2073270480,carrefour,carrefour,home_delivery|drive,
EUR,catalog,7,detergente-liquido-maxima-eficacia-skip-45-lavados,249763,8720181417962,16.45,skip,cat20005-limpieza-y-hogar,1,249763,vc4aecomm-249763,carrefour,carrefour,home_delivery|drive,
EUR,catalog,8,limpia-tuberias-con-carbon-activo-elimina-malos-olores-y-destruye-los-residuos-wc-net-700-ml,968570,8003650007827,8.39,wc-net,cat20005-limpieza-y-hogar,1,968570,832342841,carrefour,carrefour,home_delivery|drive,
EUR,catalog,9,limpia-hogar-spray-mousse-accion-lejia-blanqueador-y-desengrasante-spray-ace-700-ml,896414,8001480021587,4.39,ace,cat20005-limpieza-y-hogar,1,896414,795740596,carrefour,carrefour,home_delivery|drive,
EUR,catalog,10,plumero-atrapapolvo-con-5-recambios-carrefour-1-ud,734996,3560070185962,2.55,carrefour,cat20005-limpieza-y-hogar,1,734996,521001951,carrefour,carrefour,home_delivery|drive,
EUR,catalog,11,sacacorchos-acero-inoxidable-carrefour-home-,489634,3616181926229,2.99,carrefour-home,cat20005-limpieza-y-hogar,1,489634,vc4a-12348221,carrefour,carrefour,home_delivery|drive,
EUR,catalog,12,plantillas-gel-confort-talla-l-carrefour-expert-1-ud,163108,8431876346039,5.05,carrefour-expert,cat20005-limpieza-y-hogar,1,163108,prod1150071,carrefour,carrefour,home_delivery|drive,
EUR,catalog,13,gel-para-lavavajillas-todo-en-1-gel-pronature-ecologico-somat-60-lavados,553404,8410436377645,12.09,somat-gel,cat20005-limpieza-y-hogar,1,553404,vc4aecomm-553404,carrefour,carrefour,home_delivery|drive,
EUR,catalog,14,discos-activos-inodoros-aroma-lavanda-recambio-pato-2-ud,076831,5000204018059,5.45,pato-wc,cat20005-limpieza-y-hogar,1,076831,prod1000436,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,15,ambientador-automatico-freshmatic-fragancia-delicias-de-verano-recambio-air-wick-1-ud,894065,8410104156640,5.93,air-wick-freshmatic,cat20005-limpieza-y-hogar,1,894065,794451529,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,16,ambientador-electrico-fragancia-delicias-de-verano-essential-oils-recambio-air-wick-3-ud,416512,8410104898113,15.75,air-wick,cat20005-limpieza-y-hogar,1,416512,vc4aecomm-416512,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,17,detergente-en-polvo-limpieza-profunda-wipp-express-80-lavados,179103,8410436447324,23.9,wipp,cat20005-limpieza-y-hogar,1,179103,vc4aecomm-179103,carrefour,carrefour,home_delivery|drive,
EUR,catalog,18,lavavajillas-a-mano-maxi-poder-fairy-980-ml-,545343,8700216626248,7.75,fairy-maxi-poder,cat20005-limpieza-y-hogar,1,545343,vc4aecomm-545343,carrefour,carrefour,home_delivery|drive,
EUR,catalog,19,limpiador-de-induccion-indu-clen-450-ml,454995,8410104888428,8.89,induclen,cat20005-limpieza-y-hogar,1,454995,prod381962,carrefour,carrefour,home_delivery|drive,
EUR,catalog,20,cepillo-de-fregar-carrefour---gris,179351,3270192676186,1.9,carrefour,cat20005-limpieza-y-hogar,1,179351,2013790017,carrefour,carrefour,home_delivery|drive,
EUR,catalog,21,ambientador-un-toque-relax-zen-recambio-glade-by-brise-2-ud,561473,5000204298840,7.59,glade-un-toque,cat20005-limpieza-y-hogar,1,561473,521028637,carrefour,carrefour,home_delivery|drive,
EUR,catalog,22,duo-salvaunas-spontes-frotamax-verde,705937,8410404150362,3.95,spontex,cat20005-limpieza-y-hogar,1,705937,2009542952,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,23,perfumador-liquido-marsella-detersolin-720-ml,127790,8413395056590,5.29,detersolin,cat20005-limpieza-y-hogar,1,127790,vc4aecomm-127790,carrefour,carrefour,home_delivery|drive,
EUR,catalog,24,ambientador-automatico-lavanda-recambio-glade-by-brise-1-ud,874240,5000204794373,6.79,glade,cat20005-limpieza-y-hogar,1,874240,784529341,carrefour,carrefour,home_delivery|drive,
