currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon
EUR,catalog,1,desodorante-roll-on-dermo-extra-control-48h-antitranspirante-sanex-pack-de-2-unidades-de-50-ml,543489,8718951464209,3.95,sanex,cat20004-perfumeria-e-higiene,1,543489,520664814,carrefour,carrefour,home_delivery|drive,
EUR,catalog,2,cepillo-de-dientes-suave-cerdas-cruzadas-carrefour-soft-2-ud,481279,3560071409814,1.24,carrefour-soft,cat20004-perfumeria-e-higiene,1,481279,vc4aecomm-481279,carrefour,carrefour,home_delivery|drive,
EUR,catalog,3,desodorante-en-spray-cobalt-blue-anti-transpirante-rexona-pack-de-2-unidades-de-200-ml,534130,8717163456675,5.15,rexona,cat20004-perfumeria-e-higiene,1,534130,520664718,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,4,tampones-regular-pearl-tampax-24-ud,170704,4015400804345,4.59,tampax,cat20004-perfumeria-e-higiene,1,170704,530363536,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,5,desodorante-roll-on-sensitive-sin-perfume-con-seda-hipoalergenico-byly-50-ml,003329,8411104002609,1.9,byly,cat20004-perfumeria-e-higiene,1,003329,521008009,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,6,enjuague-bucal-proteccion-profesional-pro-expert-oral-b-500-ml,958609,4084500924055,5.69,oral-b-pro-expert,cat20004-perfumeria-e-higiene,1,958609,823819021,carrefour,carrefour,home_delivery|drive,
EUR,catalog,7,desodorante-roll-on-black--white-invisible-original-nivea-50-ml,346909,4005900388636,2.35,nivea,cat20004-perfumeria-e-higiene,1,346909,593901537,carrefour,carrefour,home_delivery|drive,
EUR,catalog,8,champu-anticaspa-citrus-fresh-para-pelo-graso-hs-625-ml,336877,8700216266598,8.85,hs,cat20004-perfumeria-e-higiene,1,336877,vc4aecomm-336877,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,9,dentifrico-reparacion-activa-de-encias-parodontax-75-ml,188980,5054563162533,4.75,parodontax,cat20004-perfumeria-e-higiene,1,188980,vc4aecomm-188980,carrefour,carrefour,home_delivery|drive,
EUR,catalog,10,cepillo-interdental-carrefour-soft-5-ud,765491,3560070886777,1.38,carrefour,cat20004-perfumeria-e-higiene,1,765491,756361226,carrefour,carrefour,home_delivery|drive,
EUR,catalog,11,crema-corporal-con-aceite-de-oliva-carrefour-soft-250-ml,601820,8431876296211,1.71,carrefour-soft,cat20004-perfumeria-e-higiene,1,601820,vc4aecomm-601820,carrefour,carrefour,home_delivery|drive,
EUR,catalog,12,gel-de-ducha-argan-carrefour-750-ml,140314,8431876271485,2.25,carrefour,cat20004-perfumeria-e-higiene,1,140314,prod1070629,carrefour,carrefour,home_delivery|drive,
EUR,catalog,13,lima-de-fibra-de-vidrio-para-unas-carrefour-soft-1-ud,076300,8431876308228,0.99,carrefour-soft,cat20004-perfumeria-e-higiene,1,076300,vc4aecomm-076300,carrefour,carrefour,home_delivery|drive,
EUR,catalog,14,protegeslip-maxi-ausonia-30-ud,857619,8001090793584,2.05,ausonia,cat20004-perfumeria-e-higiene,1,857619,prod731540,carrefour,carrefour,home_delivery|drive,
EUR,catalog,15,desodorante-roll-on-extra-control-proteccion-48h-zero-sanex-50-ml,304288,8718951463554,2.09,sanex,cat20004-perfumeria-e-higiene,1,304288,fprod1260029,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,16,dentifrico-blanqueadora-con-cristales-blancos-maxwhite-colgate-75-ml,124749,8718951315365,2.89,colgate,cat20004-perfumeria-e-higiene,1,124749,vc4aecomm-124749,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50
EUR,catalog,17,cepillo-de-dientes-infantil-con-luz-temporizador-3-anos-soft-carrefour-1-ud,400761,3560071224325,3.09,carrefour,cat20004-perfumeria-e-higiene,1,400761,fprod1460488,carrefour,carrefour,home_delivery|drive,
EUR,catalog,18,compresas-ultra-finas-con-alas-normal-plus-pure-carrefour-soft-14-ud,681315,3560071402860,1.47,carrefour-soft,cat20004-perfumeria-e-higiene,1,681315,vc4aecomm-681315,carrefour,carrefour,home_delivery|drive,
EUR,catalog,19,bandas-de-cera-depilatoria-faciales-frias-carrefour-soft-20-ud,696488,3560071403300,1.38,carrefour-soft,cat20004-perfumeria-e-higiene,1,696488,vc4aecomm-696488,carrefour,carrefour,home_delivery|drive,
EUR,catalog,20,compresas-para-incontinencia-de-orina-mini-discreet-ausonia-24-ud,338954,8700216280556,4.85,ausonia,cat20004-perfumeria-e-higiene,1,338954,590601612,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,21,champu-repara-y-protege-pantene-pro-v-1000-ml,504976,8700216444170,14.29,pantene,cat20004-perfumeria-e-higiene,1,504976,vc4aecomm-504976,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,22,dentifrico-para-dientes-sensibles-blanqueante-sensodyne-75-ml,454007,5054563101846,3.95,sensodyne,cat20004-perfumeria-e-higiene,1,454007,521000261,carrefour,carrefour,home_delivery|drive,
EUR,catalog,23,desodorante-stick-captain-old-spice-50-ml,243961,8001090970497,3.95,old-spice,cat20004-perfumeria-e-higiene,1,243961,fprod1190544,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula
EUR,catalog,24,desodorante-roll-on-antitranspirante-cream-care-carrefour-soft-50-ml,668789,3560071258092,0.92,carrefour-soft,cat20004-perfumeria-e-higiene,1,668789,vc4aecomm-668789,carrefour,carrefour,home_delivery|drive,
