currency,item_list_name,index,item_name,item_id,item_ean,price,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,discount,item_brand,item_variant
EUR,catalog,1,freson-tarrina-origen-huelva-500-g,035923,8400048033503,2.45,cat20002-productos-frescos,1,035923,521032196,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,2,banana-a-granel-1-kg-aprox,035834,2902266000009,1.09,cat20002-productos-frescos,1,035834,529921745,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,0.36,,
EUR,catalog,3,barra-de-pan-pistola-carrefour-250-g,216537,8431876211016,0.46,cat20002-productos-frescos,1,216537,527063193,carrefour,carrefour,home_delivery|drive,,,carrefour,
EUR,catalog,4,queso-rallado-mozzarella-carrefour-200-g,710785,3560070246571,1.59,cat20002-productos-frescos,1,710785,521030768,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,carrefour,
EUR,catalog,5,barra-de-pan-pistola-carrefour-3-ud,668138,8431876233964,1.09,cat20002-productos-frescos,1,668138,575702279,carrefour,carrefour,home_delivery|drive,,,carrefour,pieza|en-rebanadas
EUR,catalog,6,baguette-carrefour-1-ud,262274,8431876228137,0.55,cat20002-productos-frescos,1,262274,525964668,carrefour,carrefour,home_delivery|drive,,,carrefour,
EUR,catalog,7,zanahoria-carrefour-1-kg,235422,8431876022674,0.99,cat20002-productos-frescos,1,235422,fprod1410012,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_-10-acumulacion,,carrefour,
EUR,catalog,8,calabacin-carrefour-a-granel-12-kg-aprox,431967,2995872000006,1.67,cat20002-productos-frescos,1,431967,vc4aecomm-431967,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,0.43,carrefour,
EUR,catalog,9,tomate-pera-carrefour-1-kg-aprox,646403,2999794000007,2.05,cat20002-productos-frescos,1,646403,vc4aecomm-646403,carrefour,carrefour,home_delivery|drive,,,carrefour,
EUR,catalog,10,pimiento-rojo--granel-1-kg-aprox-,050255,2904061000000,2.25,cat20002-productos-frescos,1,050255,532601619,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,11,queso-rallado-cuatro-quesos-carrefour-200-g,712501,8431876114263,1.9,cat20002-productos-frescos,1,712501,521030772,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,0.09,carrefour,
EUR,catalog,12,guacamole-carrefour-200-g,208412,8431876276114,1.69,cat20002-productos-frescos,1,208412,prod1160715,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,carrefour,
EUR,catalog,13,bacon-sabor-ahumado-en-tiras-carrefour-el-mercado-sin-gluten-pack-de-2-unidades-de-100-g,710259,8431876245592,2.45,cat20002-productos-frescos,1,710259,vc4aecomm-710259,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,carrefour,
EUR,catalog,14,tomate-ensalada-1-kg-aprox,050265,2904070000008,1.95,cat20002-productos-frescos,1,050265,530067024,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_-10-acumulacion,,,
EUR,catalog,15,uva-blanca-sin-pepitas-carrefour-bandeja-de-500-g,402112,8431876285628,2.79,cat20002-productos-frescos,1,402112,fprod1460464,carrefour,carrefour,home_delivery|drive,,,carrefour,
EUR,catalog,16,cebolla-carrefour-1-kg,235457,8431876022780,2.4,cat20002-productos-frescos,1,235457,521032276,carrefour,carrefour,home_delivery|drive,,,carrefour,
EUR,catalog,17,queso-gouda-holland-en-lonchas-carrefour-200-g,559857,3560070418145,1.64,cat20002-productos-frescos,1,559857,521030730,carrefour,carrefour,home_delivery|drive,,,carrefour,
EUR,catalog,18,patata-lavada-carrefour-1-kg-aprox,572092,2998188000005,1.95,cat20002-productos-frescos,1,572092,vc4aecomm-572092,carrefour,carrefour,home_delivery|drive,,,carrefour,
EUR,catalog,19,lechuga-iceberg-carrefour-1-ud,235341,8431876022520,0.89,cat20002-productos-frescos,1,235341,fprod1190510,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,0.16,carrefour,
EUR,catalog,20,patata-lavada-para-todo-uso-carrefour-3-kg,343849,8431876213508,3.57,cat20002-productos-frescos,1,343849,596701537,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,1.52,carrefour,
EUR,catalog,21,panecillo-gran-reserva-carrefour-1-ud,902215,8431876353198,0.32,cat20002-productos-frescos,1,902215,prod211488,carrefour,carrefour,home_delivery|drive,,,carrefour,
EUR,catalog,22,berenjena-carrefour-a-granel-1-kg-aprox,394518,2929048000002,1.89,cat20002-productos-frescos,1,394518,vc4aecomm-394518,carrefour,carrefour,home_delivery|drive,,,carrefour,
EUR,catalog,23,queso-edam-en-lonchas-carrefour-200-g,559836,3560070417933,1.57,cat20002-productos-frescos,1,559836,521030728,carrefour,carrefour,home_delivery|drive,,,carrefour,
EUR,catalog,24,freson-tarrina-1-kg,083465,8400049004427,3.29,cat20002-productos-frescos,1,083465,521034237,carrefour,carrefour,home_delivery|drive,,,,
