currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_variant
EUR,catalog,1,fuet-casero-elpozo-sin-gluten-150-g,710633,8410843003984,2.69,el-pozo,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,710633,vc4aecomm-710633,carrefour,carrefour,home_delivery|drive,
EUR,catalog,2,ensalada-cesar-carrefour-215-g,988650,8431876251166,2.39,carrefour,cat20002-productos-frescos,1,,988650,844803399,carrefour,carrefour,home_delivery|drive,
EUR,catalog,3,queso-rallado-parmesano-carrefour-extra-100-g,264543,3560070157198,2.99,carrefour,cat20002-productos-frescos,1,,264543,522714749,carrefour,carrefour,home_delivery|drive,
EUR,catalog,4,jamon-curado-en-lonchas-el-pozo-1954-sin-gluten-y-sin-lactosa-80-g,710124,8410843032915,1.5,el-pozo,cat20002-productos-frescos,1,,710124,vc4aecomm-710124,carrefour,carrefour,home_delivery|drive,
EUR,catalog,5,palmeron-de-hojaldre-de-chocolate-xxl-carrefour-400-g,496501,2970792000008,1.99,carrefour,cat20002-productos-frescos,1,,496501,716511222,carrefour,carrefour,home_delivery|drive,
EUR,catalog,6,napolitana-chocolate-1-ud,086386,8433709121554,0.89,,cat20002-productos-frescos,1,,086386,vc4aecomm-086386,carrefour,carrefour,home_delivery|drive,
EUR,catalog,7,jamon-cocido-extra-en-lonchas-el-pozo-sin-gluten-y-sin-lactosa-225-g,710118,8410843129905,2.79,el-pozo,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,710118,vc4aecomm-710118,carrefour,carrefour,home_delivery|drive,
EUR,catalog,8,chopped-pork-en-lonchas-campofrio-sin-gluten-95-g,695384,8410320001496,0.99,cuidat,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,695384,vc4aecomm-695384,carrefour,carrefour,home_delivery|drive,
EUR,catalog,9,jamon-de-cerdo-troceado-carrefour-600-g-aprox,047350,2903618000005,3.29,carrefour,cat20002-productos-frescos,1,,047350,521032507,carrefour,carrefour,home_delivery|drive,
EUR,catalog,10,pera-conferencia-carrefour-15-kg-aprox,531311,2907319000005,3.37,carrefour,cat20002-productos-frescos,1,,531311,vc4aecomm-531311,carrefour,carrefour,home_delivery|drive,
EUR,catalog,11,pechuga-de-pavo-cocida-naturarte-campofrio-150-g-aprox,427260,2970260000004,2.39,campofrio,cat20002-productos-frescos,1,,427260,765504637,carrefour,carrefour,home_delivery|drive,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,12,ensaladilla-rusa-300-g,552682,8431876305722,2.7,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,552682,vc4aecomm-552682,carrefour,carrefour,home_delivery|drive,
EUR,catalog,13,ensalada-capriccio-carrefour-el-mercado-150-g,766812,8431876237214,1.95,carrefour,cat20002-productos-frescos,1,,766812,757834491,carrefour,carrefour,home_delivery|drive,
EUR,catalog,14,queso-havarti-light-en-lonchas-carrefour-200-g,695563,3560070418114,2.19,carrefour,cat20002-productos-frescos,1,,695563,521030721,carrefour,carrefour,home_delivery|drive,
EUR,catalog,15,baguettina-congelada-sin-gluten-1-ud,799678,2957782000002,1.14,,cat20002-productos-frescos,1,,799678,607225987,carrefour,carrefour,home_delivery|drive,
EUR,catalog,16,hongo-portobello-carrefour-300-g-aprox,279286,2994034000007,2.16,carrefour,cat20002-productos-frescos,1,,279286,fprod1220456,carrefour,carrefour,home_delivery|drive,
EUR,catalog,17,queso-fundido-en-porciones-la-vaca-que-rie-sin-gluten-375-g,380507,8410259102158,4.05,la-vaca-que-rie,cat20002-productos-frescos,1,,380507,521034700,carrefour,carrefour,home_delivery|drive,
EUR,catalog,18,galleta-cookie-triple-chocolate-1-ud,313703,8424465880298,1.05,,cat20002-productos-frescos,1,,313703,vc4aecomm-313703,carrefour,carrefour,home_delivery|drive,
EUR,catalog,19,caracola-plus-1-ud,938842,8435048219510,0.8,,cat20002-productos-frescos,1,,938842,vc4aecomm-938842,carrefour,carrefour,home_delivery|drive,
EUR,catalog,20,magdalenas-redondas-la-bella-easo-16-ud,400811,8410022116504,2.99,la-bella-easo,cat20002-productos-frescos,1,,400811,701717791,carrefour,carrefour,home_delivery|drive,
EUR,catalog,21,queso-rallado-mix-simpl-200-g,252673,3560071480028,1.35,simpl,cat20002-productos-frescos,1,,252673,vc4aecomm-252673,carrefour,carrefour,home_delivery|drive,
EUR,catalog,22,puerro-circulo-de-calidad-500-g,240832,8431876277326,2.39,circulo-de-calidad,cat20002-productos-frescos,1,,240832,prod223075,carrefour,carrefour,home_delivery|drive,
EUR,catalog,23,barra-de-pan-carefour-250-g,523454,8431876312478,0.49,carrefour,cat20002-productos-frescos,1,,523454,607402643,carrefour,carrefour,home_delivery|drive,
EUR,catalog,24,pechuga-de-pavo-en-finas-lonchas-carrefour-el-mercado-sin-gluten-200-g,050786,8431876327632,2.29,carrefour,cat20002-productos-frescos,1,,050786,vc4aecomm-050786,carrefour,carrefour,home_delivery|drive,
