currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_variant,discount
EUR,catalog,1,solomillo-de-cerdo-carrefour-12-kg-aprox,518437,2997504000002,9.58,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_-10-acumulacion,518437,vc4aecomm-518437,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,sandwich-atun-carrefour-140-g,676224,8431876301939,1.38,bon-appetit,cat20002-productos-frescos,1,,676224,vc4aecomm-676224,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,bacaladilla-600-g-aprox,058128,2904629000008,4.79,,cat20002-productos-frescos,1,,058128,628108250,carrefour,carrefour,home_delivery|drive,limpio,
EUR,catalog,4,pechuga-de-pavo-cocida-en-lonchas-finas-campofrio-finissimas-sin-gluten-y-sin-lactosa-170-g,695362,8410320031325,2.99,campofrio,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,695362,vc4aecomm-695362,carrefour,carrefour,home_delivery|drive,,0.26
EUR,catalog,5,cebollino-manojo-de-175-g,697282,8436014350633,1.85,,cat20002-productos-frescos,1,,697282,vc4aecomm-697282,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,mandarina-selecta-bandeja-1-kg,672031,8423466008854,3.49,,cat20002-productos-frescos,1,,672031,vc4aecomm-672031,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,rabanito-bolsa-carrefour-250-g,076280,8431876329209,0.99,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_todo-a-1-,076280,vc4aecomm-076280,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,queso-camembert-cremoso-carrefour-250-g,685818,8431876011753,2.09,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,685818,vc4aecomm-685818,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,pechuga-de-pavo-fileteada-carrefour-600-g-aprox,039636,2991949000009,4.49,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_super-precio,039636,prod920182,carrefour,carrefour,home_delivery|drive,,0.52
EUR,catalog,10,empanada-familiar-de-atun-carrefour-el-mercado-1-kg-aprox,974537,8431876307559,7.2,carrefour,cat20002-productos-frescos,1,,974537,837010516,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,jamon-cocido-extra-en-lonchas-carrefour-el-mercado-250-g,050739,8431876327588,2.69,carrefour,cat20002-productos-frescos,1,,050739,vc4aecomm-050739,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,mini-cuerno-carrefour-6-ud,455635,2996509000000,1.67,carrefour,cat20002-productos-frescos,1,,455635,vc4aecomm-455635,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,pechuga-de-pavo-sin-grasa-el-pozo-bienstar-sin-gluten-sin-lactosa-340-g,711069,8410843129738,3.69,el-pozo,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,711069,vc4aecomm-711069,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,jamon-reserva-curado-en-lonchas-serie-oro-el-pozo-1954-sin-gluten-y-sin-lactosa-180-g,338990,8410843148241,3.99,,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,338990,vc4aecomm-338990,carrefour,carrefour,home_delivery|drive,,0.5
EUR,catalog,15,crema-de-queso-original-philadelphia-sin-gluten-250-g,548437,7622210103352,2.55,philadelphia,cat20002-productos-frescos,1,directo/sobre-producto/_5-dto,548437,vc4aecomm-548437,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,salchichas-cocidas-estilo-viena-wieners-con-queso-oscar-mayer-sin-gluten-200-g,003297,0000084150684,1.43,oscar-mayer,cat20002-productos-frescos,1,,003297,521031123,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,filetes-de-pechuga-marinada-de-pollo-carrefour-450-g-aprox,377487,2953652000004,3.33,carrefour,cat20002-productos-frescos,1,,377487,vc4aecomm-377487,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,jamon-cocido-en-finas-lonchas-el-pozo-bienstar-sin-gluten-y-sin-lactosa-65-g,710667,8410843012559,0.99,el-pozo,cat20002-productos-frescos,1,,710667,vc4aecomm-710667,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,judia-fina-flow-pack--250-g,285630,8421525371116,1.79,,cat20002-productos-frescos,1,,285630,521015254,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,20,pate-de-higado-de-cerdo-classic-carrefour-pack-de-4-unidades-de-78-g,695605,8431876110135,1.71,carrefour,cat20002-productos-frescos,1,,695605,521006577,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,21,preparado-de-carne-picada-de-cerdo-carrefour-el-mercado-500-g,479498,8431876358827,2.69,carrefour,cat20002-productos-frescos,1,,479498,vc4aecomm-479498,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,secreto-de-cerdo-carrefour-750-g-aprox,426795,2970234000009,2.99,carrefour,cat20002-productos-frescos,1,,426795,prod220618,carrefour,carrefour,home_delivery|drive,,
