currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_variant,discount
EUR,catalog,1,queso-fresco-original-burgo-de-arias-sin-gluten-pack-de-3-unidades-de-72-g,020884,8413100611175,3.19,burgo-de-arias,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,020884,521030553,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,chuleton-de-vacuno-12-kg-aprox,395751,2929165000008,22.79,,cat20002-productos-frescos,1,,395751,784417842,carrefour,carrefour,home_delivery|drive,filete-grueso-2-cm|filete-normal-1-cm,
EUR,catalog,3,galleta-cookie-doble-chocolate-1-ud,337536,8424465880342,1.05,,cat20002-productos-frescos,1,,337536,vc4aecomm-337536,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,4,queso-fresco-desnatado-con-arandanos-sin-azucar-anadido-proteina-plus-carrefour-sensation-sin-gluten-pack-de-4-unidades-de-100-g,097578,8431876314526,1.22,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,097578,vc4aecomm-097578,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,queso-fresco-desnatado-con-fresa-sin-azucar-anadido-proteinas-plus-carrefour-sensation-sin-gluten-pack-de-4-unidades-e-100-g,097569,8431876314519,1.22,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,097569,vc4aecomm-097569,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,pechuga-de-pavo-asada-con-madera-de-haya-natural-legado-el-pozo-1954-sin-gluten-y-sin-lactosa-120-g,048648,8410843140078,2.79,el-pozo,cat20002-productos-frescos,1,,048648,vc4aecomm-048648,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,queso-fundido-en-porciones-250-g,203602,3560070455720,1.47,simpl,cat20002-productos-frescos,1,,203602,538408191,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,hamburguesa-de-pollo-congelada-simons-food-3x80g,293398,8423128000325,1.29,,cat20002-productos-frescos,1,,293398,663901758,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,bacon-ahumado-natural-en-lonchas-oscar-mayer-sin-gluten-150-g,698578,8410486081011,2.45,oscar-mayer,cat20002-productos-frescos,1,,698578,vc4aecomm-698578,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,calabacin-simply-15-kg,527727,8431876361018,3.15,simpl,cat20002-productos-frescos,1,,527727,vc4aecomm-527727,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,champinon-pie-cortado-carrefour-600-g-aprox,271642,2993998000009,3.42,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_2-unidad--50,271642,fprod1220135,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,burguer-cruchy-carrefour-el-mercado-pack-de-2-unidades-de-120-g,367047,8431876354201,1.85,el-mercado,cat20002-productos-frescos,1,,367047,vc4aecomm-367047,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,tomate-cherry-sabores-carrefour-500-gr,729693,8431876323023,3.45,carrefour,cat20002-productos-frescos,1,,729693,vc4aecomm-729693,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,jamon-cocido-extra-en-lonchas-carrefour-el-mercado-180-g,084161,8431876329858,2.55,carrefour,cat20002-productos-frescos,1,,084161,vc4aecomm-084161,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,trasero-de-pollo-carrefour-12-kg-aprox,961472,2981438000009,3.54,carrefour,cat20002-productos-frescos,1,,961472,827513085,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,mora-125-g,464651,8437001615032,2.25,,cat20002-productos-frescos,1,,464651,521032199,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,tomate-rosa-tip-top-granel-1-kg-aprox,476499,2954266000008,3.49,,cat20002-productos-frescos,1,,476499,vc4aecomm-476499,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,queso-fundido-en-lonchas-burguer-carrefour-300-g,110227,8431876302714,1.94,carrefour,cat20002-productos-frescos,1,,110227,vc4aecomm-110227,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,jamoncitos-de-pollo-carrefour-850-g-aprox,197646,2966863000008,2.88,carrefour,cat20002-productos-frescos,1,directo/sobre-producto/_super-precio,197646,713621698,carrefour,carrefour,home_delivery|drive,,0.34
EUR,catalog,20,pepino-de-almeria-a-granel-1-kg,053820,2901644000006,2.49,,cat20002-productos-frescos,1,,053820,628401719,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,21,queso-fresco-tradicional-carrefour-250-g,673663,8431876212730,1.66,carrefour,cat20002-productos-frescos,1,,673663,618303487,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,acelga-cortada-carrefour-el-mercado-300-g,261440,8431876034639,1.19,carrefour,cat20002-productos-frescos,1,,261440,521032384,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,chorizo-casero-extra-sarta-palacios-250-g,709416,8420878000025,4.35,palacios,cat20002-productos-frescos,1,,709416,vc4aecomm-709416,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,patata-para-freir-circulo-de-calidad-25-kg,352630,8431876047455,4.35,circulo-de-calidad,cat20002-productos-frescos,1,,352630,521034191,carrefour,carrefour,home_delivery|drive,,
