currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,item_variant,discount
EUR,catalog,1,queso-de-mezcla-tierno-carrefour-classic-cuna-cortada-de-250-g,685155,8431876302349,3.15,carrefour,cat20002-productos-frescos,1,685155,vc4aecomm-685155,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,2,pechuga-de-pavo-reducida-en-sal-y-sin-grasa-el-pozo-bienstar-sin-gluten-y-sin-lactosa-340-g,711222,8410843129707,3.99,el-pozo,cat20002-productos-frescos,1,711222,vc4aecomm-711222,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,3,queso-fundido-en-lonchas-clasico-el-caserio-sin-gluten-262-g-,500156,7622201393038,2.65,el-caserio,cat20002-productos-frescos,1,500156,vc4aecomm-500156,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,,
EUR,catalog,4,centro-jamon-serrano-reserva-carrefour-al-corte-150-g-aprox,227569,2993340000008,3.9,carrefour,cat20002-productos-frescos,1,227569,fprod1180426,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,
EUR,catalog,5,lacon-cocido-al-horno-en-lonchas-carrefour-el-mercado-sin-gluten-y-sin-lactosa-200-g,180586,8431876343434,2.45,carrefour,cat20002-productos-frescos,1,180586,vc4aecomm-180586,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,6,jamon-cocido-extra-en-finas-lochas-casa-tarradellas-sin-gluten-y-sin-lactosa-125-g,698151,8410762210456,2.19,casa-tarradellas,cat20002-productos-frescos,1,698151,vc4aecomm-698151,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,7,croissant-clasico-carrefour-el-mercado-4-ud,163361,2915667000004,3.95,carrefour,cat20002-productos-frescos,1,163361,527030760,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,8,panceta-de-cerdo-en-filetes-carrefour-el-mercado-1-kg-aprox,145284,2912984000007,6.45,carrefour,cat20002-productos-frescos,1,145284,521032961,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,,0.34
EUR,catalog,9,picada-de-pollo-carrefour-400-g,065820,8431876329032,2.85,carrefour,cat20002-productos-frescos,1,065820,vc4aecomm-065820,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,10,chuleton-de-vacuno-600-g-aprox,279789,2963912000002,11.39,,cat20002-productos-frescos,1,279789,608101741,carrefour,carrefour,home_delivery|drive,,filetes|corte-fino|corte-grueso,
EUR,catalog,11,cake-marble-carrefour-el-mercado-550-g,229767,8431876348422,2.95,carrefour,cat20002-productos-frescos,1,229767,prod130045,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,12,palitos-zanahoria-vaso-165-g,087535,8414516128929,1.79,,cat20002-productos-frescos,1,087535,vc4aecomm-087535,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,13,pan-superburguer-brioche-330-g,488680,8431876311853,2.13,carrefour,cat20002-productos-frescos,1,488680,vc4aecomm-488680,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,14,baguette-tostada-horno-carrefour-250-g,462145,2937797000006,0.99,carrefour,cat20002-productos-frescos,1,462145,625018736,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,15,ensalada-de-atun-con-salsa-vinagreta-carrefour-bon-appetit-257-g,218283,8431876312539,2.45,carrefour,cat20002-productos-frescos,1,218283,vc4aecomm-218283,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,16,jamon-cocido-extra-en-finas-lonchas-casa-tarradellas-sin-gluten-y-sin-lactosa-150-g,698148,8410762002730,2.39,casa-tarradellas,cat20002-productos-frescos,1,698148,vc4aecomm-698148,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,17,queso-fresco-0-grasa-classic-carrefour-500-g,423589,8431876352276,1.99,carrefour,cat20002-productos-frescos,1,423589,prod61540,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,18,queso-mascarpone-classic-carrefour-250-g,723622,3560070209071,2.39,carrefour,cat20002-productos-frescos,1,723622,521030582,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,19,chorizo-oreado-carrefour-el-mercado-320-g-aprox,522638,2900566000002,2.29,carrefour,cat20002-productos-frescos,1,522638,vc4aecomm-522638,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,20,cake-chip-carrefour-el-mercado-550-g,230095,8431876348446,2.95,carrefour,cat20002-productos-frescos,1,230095,prod130231,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,21,regana-el-antequerano-150-g,895333,8437011162182,1.99,,cat20002-productos-frescos,1,895333,794720608,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,22,chopped-de-lata-en-lonchas-finas-carrefour-el-mercado-150-g,084150,8431876329919,1.75,carrefour,cat20002-productos-frescos,1,084150,vc4aecomm-084150,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,23,xuxo-bombon-relleno-sabor-crema-don-bimbo-3-ud,673580,8410022116641,3.85,bimbo,cat20002-productos-frescos,1,673580,vc4aecomm-673580,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,24,queso-en-dados-para-ensaladas-extra-carrefour-200-g,602179,8431876290202,2.05,carrefour,cat20002-productos-frescos,1,602179,vc4aecomm-602179,carrefour,carrefour,home_delivery|drive,,,
