currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,item_variant
EUR,catalog,1,mortadela-estilo-italiana-en-lonchas-carrefour-el-mercado-sin-gluten-y-sin-lactosa-150-g,242921,8431876344295,1.89,carrefour,cat20002-productos-frescos,1,242921,vc4aecomm-242921,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,panecillo-de-centeno-51-6-ud,498735,8437016823149,1.55,,cat20002-productos-frescos,1,498735,vc4aecomm-498735,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,ajo-ecologico-carrefour-bio-a-granel-200-g-aprox,332219,2994647000005,2.04,carrefour-bio,cat20002-productos-frescos,1,332219,fprod1290082,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,4,calcots-manojo-de-1-kg,053851,8360186111573,4.99,,cat20002-productos-frescos,1,053851,530067052,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,endivia-carrefour-450-g,436933,8431876287752,1.75,carrefour,cat20002-productos-frescos,1,436933,vc4aecomm-436933,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,carpaccio-de-vacuno-ecologico-carrefour-bio-120-g,477312,8431876290448,3.85,carrefour-bio,cat20002-productos-frescos,1,477312,vc4aecomm-477312,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,7,zanahoria-rallada-carrefour-el-mercado-150-g,522036,8431876090536,0.96,carrefour,cat20002-productos-frescos,1,522036,529916711,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,chistorra-carrefour-sin-gluten-220-g,076182,8431876056846,1.45,carrefour,cat20002-productos-frescos,1,076182,vc4aecomm-076182,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,solomillo-de-pollo-empanado-carrefour-el-mercado-300-g-aprox,367035,2904272000004,2.55,el-mercado,cat20002-productos-frescos,1,367035,vc4aecomm-367035,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,pechuga-de-pavo-reducida-en-sal-en-lonchas-extrafinas-carrefour-el-mercado-sin-gluten-100-g,164431,8431876341393,2.69,carrefour,cat20002-productos-frescos,1,164431,vc4aecomm-164431,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,11,salchichas-big-pollo-el-pozo-sin-gluten-pack-de-3-unidades-de-200-g,910814,8410843142362,2.5,el-pozo,cat20002-productos-frescos,1,910814,823352275,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,queso-rallado-mozzarella-arla-150-g,105809,5760466896986,3.49,arla,cat20002-productos-frescos,1,105809,522714868,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,13,queso-mozzarella-galbani-150-g,074917,8000430132267,3.49,galbani,cat20002-productos-frescos,1,074917,526500946,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,cake-natur-carrefour-el-mercado-550-g,229772,8431876348439,2.95,carrefour,cat20002-productos-frescos,1,229772,prod130034,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,fiambre-de-pechuga-de-pavo-para-sandwich-en-lonchas-el-pozo-sin-gluten-270-g,711211,8410843012801,2.15,el-pozo,cat20002-productos-frescos,1,711211,vc4aecomm-711211,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,16,mortadela-iberica-legado-el-pozo-180-g-aprox,703449,2948715000008,1.72,el-pozo,cat20002-productos-frescos,1,703449,615401890,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,17,manzana-reineta-verde-a-granel-1-kg-aprox,035644,2902087000004,2.55,,cat20002-productos-frescos,1,035644,553703190,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,18,queso-fundido-en-porciones-light-la-vaca-que-rie-sin-gluten-375-g,011464,3073781012088,4.05,la-vaca-que-rie,cat20002-productos-frescos,1,011464,674001751,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,queso-rallado-emmental-especial-pastas-president-150-g,053192,3228024070015,3.39,president,cat20002-productos-frescos,1,053192,521030776,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,
EUR,catalog,20,centro-de-jamon-dop-teruel-de-nuestra-tierra-al-corte-150-g-aprox,179219,2992981000002,5.23,de-nuestra-tierra,cat20002-productos-frescos,1,179219,prod1130188,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,21,cilantro--manojo-de-100-g,917301,8436006183003,1.59,,cat20002-productos-frescos,1,917301,804523465,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,cebolla-blanca-carrefour-500-g,795904,8431876150315,1.79,carrefour,cat20002-productos-frescos,1,795904,521032278,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,chorizo-extra-curado-revilla-al-corte-250-g-aprox-,003817,2901083000001,4.2,,cat20002-productos-frescos,1,003817,609800544,carrefour,carrefour,home_delivery|drive,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,24,palmeron-de-hojaldre-de-azucar-xxl-carrefour-330-g,496511,2970793000007,1.55,carrefour,cat20002-productos-frescos,1,496511,716511224,carrefour,carrefour,home_delivery|drive,,
