currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,item_variant,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,discount
EUR,catalog,1,pan-de-pueblo-sin-aditivos-1-ud,433734,2995944000002,1.66,carrefour,cat20002-productos-frescos,pieza|en-rebanadas,1,433734,vc4aecomm-433734,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,espetec-casa-tarradellas-sin-gluten-pack-de-2-unidades-de-360-g,698150,8410762005113,5.35,casa-tarradellas,cat20002-productos-frescos,,1,698150,vc4aecomm-698150,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,3,mini-fuet-snackin-campofrio-50-g,699033,8410320005449,1.55,campofrio,cat20002-productos-frescos,,1,699033,prod841697,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,4,trozo-de-lomo-de-cerdo-carrefour-1-kg-aprox,073066,2968827000000,5.09,carrefour,cat20002-productos-frescos,,1,073066,684403414,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,barra-con-cereales-tradicional-1-ud,284409,8431876300314,1.03,carrefour,cat20002-productos-frescos,,1,284409,prod231490,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,champinon-pie-cortado-carrefour-200-g-aprox,271593,2993993000004,1.01,carrefour,cat20002-productos-frescos,,1,271593,fprod1220162,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,7,aguacate-hass-1-kg-aprox,036010,2902426000009,5.69,,cat20002-productos-frescos,,1,036010,547901607,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,8,espetec-casa-tarradellas-sin-gluten-185-g,698147,8410762005014,2.69,casa-tarradellas,cat20002-productos-frescos,,1,698147,vc4aecomm-698147,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,mandarina-carrefour-el-mercado-15-kg,531347,8431876361520,2.55,carrefour,cat20002-productos-frescos,,1,531347,vc4aecomm-531347,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,espinaca-troceada-carrefour-el-mercado-300-g,261718,8431876034646,1.19,carrefour,cat20002-productos-frescos,,1,261718,526574300,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,barra-100-integral-250-g,550659,8431876296457,0.99,carrefour,cat20002-productos-frescos,pieza|en-rebanadas,1,550659,vc4aecomm-550659,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,manzana-fuji-circulo-de-calidad-a-granel-1-kg-aprox,402115,2995312000009,1.99,circulo-de-calidad,cat20002-productos-frescos,,1,402115,fprod1460462,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,0.3
EUR,catalog,13,pan-de-molde-sin-corteza-bimbo-450-g,367981,8412600100325,2.39,bimbo,cat20002-productos-frescos,,1,367981,521007151,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,14,alcachofa-carrefour-1-kg-aprox,744605,2955833000001,3.49,carrefour,cat20002-productos-frescos,,1,744605,vc4aecomm-744605,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,barra-torrijas-300-g,348868,8436588951694,1.49,,cat20002-productos-frescos,,1,348868,prod1050106,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,0.39
EUR,catalog,16,pechuga-de-pollo-entera-carrefour-11-kg-aprox,765479,2973179000004,6.49,carrefour,cat20002-productos-frescos,,1,765479,762341814,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,salmon-ahumado-noruego-extra-carrefour-100-g,069334,8431876172201,3.69,carrefour,cat20002-productos-frescos,,1,069334,682701980,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,0.06
EUR,catalog,18,cesta-de-jamon-y-queso-carrefour-100-g,895015,8431876353587,1.0,carrefour,cat20002-productos-frescos,,1,895015,fprod1180448,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,chorizo-en-lonchas-revilla-sin-gluten-65-g,698652,8410320035620,0.99,revilla,cat20002-productos-frescos,,1,698652,vc4aecomm-698652,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,
EUR,catalog,20,rucula-carrefour-el-mercado-el-mercado-50-g,766809,8431876237191,0.81,carrefour,cat20002-productos-frescos,,1,766809,757834489,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,21,barra-grande-extra-carrefour-1-ud,240795,8431876276145,1.29,carrefour,cat20002-productos-frescos,pieza|en-rebanadas,1,240795,fprod1190377,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio---lotes,
EUR,catalog,22,lechuga-iceberg-carrefour-el-mercado-250-g,478340,8431876290615,0.83,carrefour,cat20002-productos-frescos,,1,478340,vc4aecomm-478340,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,23,ciabatta-cristal-gouda-1-ud,651650,8424465944075,0.43,,cat20002-productos-frescos,,1,651650,vc4aecomm-651650,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,salchichas-frankfurt-carrefour-pack-de-4-unidades-170-g,399385,8431876279856,1.75,carrefour,cat20002-productos-frescos,,1,399385,fprod1460360,carrefour,carrefour,home_delivery|drive,,
