currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_variant,coupon
EUR,catalog,1,sobrasada-el-pozo-250-g,711185,8410843005810,2.19,el-pozo,cat20002-productos-frescos,1,711185,prod65862,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,2,queso-semicurado-mezcla-graso-garcia-baquero-300-g-aprox,399048,2929444000002,5.01,,cat20002-productos-frescos,1,399048,533401627,carrefour,carrefour,home_delivery|drive,cuna-de-14|cuna-de-18|medio-queso|queso-entero,
EUR,catalog,3,bacalao-desmigado-desalado-carrefour-el-mercado-250-g,713810,8431876321821,5.75,carrefour,cat20002-productos-frescos,1,713810,vc4aecomm-713810,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,4,berenjena-carrefour-bio-2-piezas,376873,8431876283921,2.39,carrefour-bio,cat20002-productos-frescos,1,376873,fprod1450030,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,5,mortadela-de-pavo-con-aceitunas-en-lonchas-el-pozo-sin-gluten-225-g,710258,8410843101154,2.55,el-pozo,cat20002-productos-frescos,1,710258,vc4aecomm-710258,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50
EUR,catalog,6,centro-de-paleta-de-cebo-iberica-50-raza-iberica-al-corte-circulo-de-calidad-170-g-aprox,794880,2958738000008,5.59,circulo-de-calidad,cat20002-productos-frescos,1,794880,628001728,carrefour,carrefour,home_delivery|drive,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,directo/sobre-producto/_super-precio
EUR,catalog,7,mortadela-de-pavo-en-lonchas-el-pozo-sin-gluten-250-g,710112,8410843032199,2.55,el-pozo,cat20002-productos-frescos,1,710112,vc4aecomm-710112,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50
EUR,catalog,8,queso-fresco-carrefour-sin-lactosa-pack-de-4-unidades-de-625-g,826278,8431876262049,1.83,carrefour,cat20002-productos-frescos,1,826278,prod460003,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,9,queso-en-lonchas-protein-arla-150-g,857192,5711953175152,3.29,arla,cat20002-productos-frescos,1,857192,prod731403,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50
EUR,catalog,10,hamburguesa-de-vacuno-black-angus-y-cerdo-iberico-noel-180-g-,530680,8410783272983,2.79,,cat20002-productos-frescos,1,530680,vc4aecomm-530680,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,pechuga-de-pavo-cocida-en-lonchas-finas-elpozo-1954-sin-gluten-y-sin-lactosa-120-g,710961,8410843131335,2.69,el-pozo,cat20002-productos-frescos,1,710961,vc4aecomm-710961,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,maiz-cocido-ecologico-carrefour-bio-400-g,354160,8431876353488,1.99,carrefour-bio,cat20002-productos-frescos,1,354160,vc4aecomm-354160,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,13,finas-del-mar-carrefour-simply-400-g,316019,8431876348507,2.99,carrefour,cat20002-productos-frescos,1,316019,vc4aecomm-316019,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,14,jamon-de-pavo-pieza-simply-sin-gluten-sin-lactosa-400-g,709251,8431876299670,2.15,simpl,cat20002-productos-frescos,1,709251,vc4aecomm-709251,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,tortellini-ricotta-y-espinacas-buitoni-230-g,462937,8001665724173,3.19,buitoni,cat20002-productos-frescos,1,462937,vc4aecomm-462937,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50
EUR,catalog,16,ensalada-xtreme-pollo-crispy-florette-210-g,294571,8414516144325,4.29,,cat20002-productos-frescos,1,294571,vc4aecomm-294571,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,17,fiambre-de-pechuga-de-pavo-noel-sin-gluten-y-sin-lactosa-200-g-aprox,693826,2952784000005,1.8,noel,cat20002-productos-frescos,1,693826,vc4aecomm-693826,carrefour,carrefour,home_delivery|drive,loncha-fina-1mm|loncha-normal-23mm|loncha-gruesa-34mm,
EUR,catalog,18,napolitana-de-crema-carrefour-4-ud,873524,2975521000007,2.75,,cat20002-productos-frescos,1,873524,784209199,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,19,queso-comte-dop-5-meses-curacion-carrefour-cuna-250-g,681530,3560070930036,5.45,carrefour,cat20002-productos-frescos,1,681530,vc4aecomm-681530,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50
EUR,catalog,20,queso-havarti-light-en-lonchas-arla-150-g,253188,5711953016738,3.49,arla,cat20002-productos-frescos,1,253188,522714724,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50
EUR,catalog,21,hamburguesa-de-vacuno-raza-frisona-carrefour-el-mercado-240-g,053256,8431876327953,2.79,el-mercado,cat20002-productos-frescos,1,053256,vc4aecomm-053256,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,22,crema-de-queso-brie-con-trufa-president-105-g,392470,3228021180120,2.05,president,cat20002-productos-frescos,1,392470,prod860590,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50
EUR,catalog,23,solomillo-de-pollo-marinado-al-ajillo-coren-300-g-aprox,886081,2976772000006,2.97,,cat20002-productos-frescos,1,886081,790114287,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,24,jamon-de-york-para-sandwich-en-lonchas-elpozo-sin-gluten-300-g,710916,8410843036333,2.15,el-pozo,cat20002-productos-frescos,1,710916,vc4aecomm-710916,carrefour,carrefour,home_delivery|drive,,
