currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,coupon,discount,item_variant
EUR,catalog,1,queso-fundido-en-porciones-el-caserio-sin-gluten-250-g,003153,8411620001155,2.86,el-caserio,cat20002-productos-frescos,1,003153,521030594,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,2,jamon-cocido-extra-sin-fosfatos-en-lonchas-circulo-de-calidad-155-g,898935,2977739000008,1.99,circulo-de-calidad,cat20002-productos-frescos,1,898935,825503648,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,3,queso-fresco-desnatado-burgo-de-arias-sin-gluten-pack-de-3-unidades-de-72-g,406599,8413100611182,3.19,burgo-de-arias,cat20002-productos-frescos,1,406599,521030573,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,4,papayon-a-granel-12-kg-aprox,832292,2989555000001,6.23,,cat20002-productos-frescos,1,832292,prod720513,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,5,albondigas-con-salsa-275-g,413093,8436031604528,2.75,,cat20002-productos-frescos,1,413093,vc4aecomm-413093,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,6,salchichas-big-pavo-el-pozo-sin-gluten-pack-de-3-unidades-de-200-g,426760,8410843142379,2.5,el-pozo,cat20002-productos-frescos,1,426760,766916874,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,7,zanahoria-circulo-de-calidad-125-g,244812,8431876277548,0.99,circulo-de-calidad,cat20002-productos-frescos,1,244812,fprod1190595,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_todo-a-1-,,
EUR,catalog,8,arreglo-de-puchero-completo-carrefour-el-mercado-900-g-aprox,149459,2961568000001,5.3,carrefour,cat20002-productos-frescos,1,149459,609202840,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,9,croquetas-caseras-de-jamon-iberico-295-g,371923,8431876330212,4.4,carrefour,cat20002-productos-frescos,1,371923,prod310245,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,10,ensalada-new-yorker-carrefour-210-g,988652,8431876251173,2.49,carrefour,cat20002-productos-frescos,1,988652,844803403,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,11,jamon-de-cebo-iberico-50-raza-iberica-en-lonchas-nico-90-g,137514,8427926108160,4.99,,cat20002-productos-frescos,1,137514,vc4aecomm-137514,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2x1-acumula,0.66,
EUR,catalog,12,pan-batard-carrefour-1-ud,859118,2990701000004,2.39,,cat20002-productos-frescos,1,859118,prod760049,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,13,queso-maasdam-carrefour-375-g,308318,8431876349207,3.39,carrefour,cat20002-productos-frescos,1,308318,vc4aecomm-308318,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,14,sobrasada-de-mallorca-el-zagal-200-g,709443,8411959101007,2.95,el-zagal,cat20002-productos-frescos,1,709443,vc4aecomm-709443,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,15,pechuga-de-pavo-braseada-artesana-en-lonchas-campofrio-180-g-aprox,991737,2991031000009,2.75,campofrio,cat20002-productos-frescos,1,991737,prod800252,carrefour,carrefour,home_delivery|drive,,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm
EUR,catalog,16,salchichas-big-classic-el-pozo-sin-gluten-pack-de-3-unidades-de-200-g,872133,8410843142348,2.5,el-pozo,cat20002-productos-frescos,1,872133,792400095,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,17,preparado-de-carne-picada-de-vacuno-el-encinar-de-humienta-400-g,429804,8432136004171,4.55,,cat20002-productos-frescos,1,429804,vc4aecomm-429804,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_super-precio,0.3,
EUR,catalog,18,queso-en-lonchas-curado-carrefour-200-g,584086,8431876098976,3.85,carrefour,cat20002-productos-frescos,1,584086,521030533,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,19,curcuma-ecologica--150-g,841533,8429736022988,1.85,,cat20002-productos-frescos,1,841533,prod620148,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,20,torreznos-sabor-jamon-iberico-carrefour-el-mercado-125-g,413920,8431876355499,2.95,carrefour,cat20002-productos-frescos,1,413920,vc4aecomm-413920,carrefour,carrefour,home_delivery|drive,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,21,queso-rulo-de-cabra-sant-maure-180-g,685569,3228021180137,3.85,president,cat20002-productos-frescos,1,685569,vc4aecomm-685569,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,22,preparado-para-cocido-carrefour-1-kg-aprox,036118,2902512000005,6.89,carrefour,cat20002-productos-frescos,1,036118,522713961,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,23,alas-de-pollo-carrefour-500-g-aprox,887247,2976931000007,3.34,carrefour,cat20002-productos-frescos,1,887247,791562923,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,24,lechuga-romana-1-ud,050303,2938781000002,1.19,,cat20002-productos-frescos,1,050303,521034097,carrefour,carrefour,home_delivery|drive,,,
