currency,item_list_name,index,item_name,item_id,item_ean,price,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_brand,coupon,discount,item_variant
EUR,catalog,1,alas-de-pollo-congeladas-1-kg,413309,5760725231244,4.09,cat20002-productos-frescos,1,413309,fprod1480188,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,2,fuet-mini-campofrio-snackin-50-g,695368,8410320224116,1.69,cat20002-productos-frescos,1,695368,vc4aecomm-695368,carrefour,carrefour,home_delivery|drive,campofrio,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,3,contramuslos-de-pollo-carrefour-1-kg-aprox,081274,2957133000002,3.59,cat20002-productos-frescos,1,081274,vc4aecomm-081274,carrefour,carrefour,home_delivery|drive,carrefour,directo/sobre-producto/_super-precio,0.2,
EUR,catalog,4,hamburguesa-de-pollo-360-g,497342,8431876291681,3.39,cat20002-productos-frescos,1,497342,vc4aecomm-497342,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,5,chorizo-de-cerdo-iberico-oreado-carrefour-el-mercado-400-g-aprox,612716,2999190000007,4.6,cat20002-productos-frescos,1,612716,vc4aecomm-612716,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,6,pan-de-trigo-sarraceno-5-1-ud,315948,2967458000007,2.36,cat20002-productos-frescos,1,315948,663701813,carrefour,carrefour,home_delivery|drive,,,,pieza|rebanada-fina|rebanada-mediana|rebanada-gruesa
EUR,catalog,7,chuleta-de-pavo-marinada-carrefour-el-mercado-500-g-aprox,190893,2944046000007,4.19,cat20002-productos-frescos,1,190893,vc4aecomm-190893,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,8,queso-tierno-enrollado-minirolls-babybel-85-g,853112,3073781067057,2.79,cat20002-productos-frescos,1,853112,prod720449,carrefour,carrefour,home_delivery|drive,mini-babybel,,,
EUR,catalog,9,pate-a-las-finas-hierbas-carrefour-el-mercado-sin-gluten-100-g,187488,8431876343823,1.59,cat20002-productos-frescos,1,187488,vc4aecomm-187488,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,10,chorizo-blanco-en-lonchas-revilla-sin-gluten-65-g,130657,8410320364546,1.09,cat20002-productos-frescos,1,130657,vc4aecomm-130657,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,11,queso-rallado-mozzarella-margui-300-g,519315,8432022001246,3.15,cat20002-productos-frescos,1,519315,vc4aecomm-519315,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,12,entrecot-de-lomo-de-cerdo-iberico-marinado-legado-iberico-300-g,356016,8410843148036,5.99,cat20002-productos-frescos,1,356016,vc4aecomm-356016,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,13,gambon-salvaje-2-kg,041744,8420050003219,17.98,cat20002-productos-frescos,1,041744,526010619,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_super-precio,3.91,
EUR,catalog,14,higado-de-ternera-fileteado-carnicas-meca-550-g,289094,2960783000001,5.33,cat20002-productos-frescos,1,289094,607902116,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,15,lasana-bolonesa-gratinada-carrefour-el-mercado-700-g,554200,8431876307788,4.6,cat20002-productos-frescos,1,554200,vc4aecomm-554200,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,16,jamon-serrano-reserva-en-lonchas-villar-sin-gluten-y-sin-lactosa-180-g,702132,8421906212151,4.59,cat20002-productos-frescos,1,702132,vc4aecomm-702132,carrefour,carrefour,home_delivery|drive,villar,,,
EUR,catalog,17,queso-fresco-burrata-toscanella-150-g,284915,8436039431423,3.95,cat20002-productos-frescos,1,284915,prod830208,carrefour,carrefour,home_delivery|drive,toscanella,,,
EUR,catalog,18,fuetis-snacks-original-casademont-sin-gluten-50-g,708257,8411034691539,1.45,cat20002-productos-frescos,1,708257,vc4aecomm-708257,carrefour,carrefour,home_delivery|drive,casademont,,,
EUR,catalog,19,queso-iberico-semicurado-extra-carrefour-cuna-cortada-250-g,080576,8431876347104,5.09,cat20002-productos-frescos,1,080576,vc4aecomm-080576,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,20,mini-fuet-al-brie-snackin-campofrio-sin-gluten-50-g,695244,8410320337687,1.65,cat20002-productos-frescos,1,695244,vc4aecomm-695244,carrefour,carrefour,home_delivery|drive,campofrio,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,21,napolitana-de-mantequilla-y-chocolate-carrefour-6-ud,760462,2957529000005,3.65,cat20002-productos-frescos,1,760462,613402589,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,22,pechuga-de-pollo-en-lonchas-campofrio---finissimas-sin-gluten-sin-lactosa-170-g,695566,8410320240406,2.99,cat20002-productos-frescos,1,695566,vc4aecomm-695566,carrefour,carrefour,home_delivery|drive,campofrio,directo/sobre-producto/_2-unidad--50,0.26,
EUR,catalog,23,callos-a-la-madrilena-de-nuestra-tierra-500-g,446188,8431876281804,3.95,cat20002-productos-frescos,1,446188,vc4aecomm-446188,carrefour,carrefour,home_delivery|drive,de-nuestra-tierra,,,
EUR,catalog,24,burger-picada-de-pavo-carrefour-400-g,451188,8431876288995,4.4,cat20002-productos-frescos,1,451188,vc4aecomm-451188,carrefour,carrefour,home_delivery|drive,carrefour,,,
