currency,item_list_name,index,item_name,item_id,item_ean,price,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_brand,coupon,item_variant,discount
EUR,catalog,1,panecillo-blanco-11-ud,498741,8437016823125,1.09,cat20002-productos-frescos,1,498741,vc4aecomm-498741,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,2,lima-carrefour-300-g,485748,8431876290868,0.99,cat20002-productos-frescos,1,485748,vc4aecomm-485748,carrefour,carrefour,home_delivery|drive,carrefour,directo/sobre-producto/_todo-a-1-,,
EUR,catalog,3,masa-de-hojaldre-carrefour-classic-230-g,314788,8012666015122,1.1,cat20002-productos-frescos,1,314788,663201866,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,4,fiambre-de-pechuga-de-pavo-en-lonchas-campofrio-sin-gluten-y-sin-lactosa-75-g,698818,8410320398176,0.99,cat20002-productos-frescos,1,698818,vc4aecomm-698818,carrefour,carrefour,home_delivery|drive,campofrio,,,
EUR,catalog,5,queso-rallado-grana-padano-dop-carrefour-extra-100-g,557685,3560071455804,1.8,cat20002-productos-frescos,1,557685,521030754,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,6,jamon-cocido-en-lonchas-campofrio-sin-gluten-y-sin-lactosa-75-g,698858,8410320398244,0.99,cat20002-productos-frescos,1,698858,vc4aecomm-698858,carrefour,carrefour,home_delivery|drive,campofrio,directo/sobre-producto/_2-unidad--50,,
EUR,catalog,7,costilla-de-cerdo-semicarnuda-carrefour-700-g-aprox,006822,2956269000009,3.61,cat20002-productos-frescos,1,006822,vc4aecomm-006822,carrefour,carrefour,home_delivery|drive,el-mercado,directo/sobre-producto/_super-precio,enteras|troceado,0.23
EUR,catalog,8,naranjas-de-zumo-carrefour-el-mercado-3-kg,235308,8431876027297,2.65,cat20002-productos-frescos,1,235308,547901667,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,9,naranjas-de-mesa-carrefour-el-mercado-saco-de-6-kg,633807,8431876303193,5.89,cat20002-productos-frescos,1,633807,vc4aecomm-633807,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,10,bacon-en-cintas-casa-tarradellas-sin-gluten-pack-de-2-unidades-de-100-g,698152,8410762210418,2.05,cat20002-productos-frescos,1,698152,vc4aecomm-698152,carrefour,carrefour,home_delivery|drive,casa-tarradellas,,,
EUR,catalog,11,mandarina-con-hoja-carrefour-granel-1-kg-aprox,413299,2995509000003,2.25,cat20002-productos-frescos,1,413299,fprod1480195,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,12,canonigos-carrefour-el-mercado-125-g,261722,8431876034684,1.09,cat20002-productos-frescos,1,261722,521032341,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,13,jamon-cocido-extra-campofrio-al-corte-150-g-aprox,892550,2977286000001,1.93,cat20002-productos-frescos,1,892550,793945569,carrefour,carrefour,home_delivery|drive,campofrio,,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,
EUR,catalog,14,traseros-de-pollo-carrefour-15-kg-aprox,765475,2973178000005,4.48,cat20002-productos-frescos,1,765475,767508125,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,15,traseros-de-pollo-carrefour-1-kg-aprox,131626,2945893000004,2.99,cat20002-productos-frescos,1,131626,vc4aecomm-131626,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,16,pimiento-verde-lamuyo--granel-1-kg-aprox,050236,2904042000005,2.79,cat20002-productos-frescos,1,050236,548801612,carrefour,carrefour,home_delivery|drive,,,,
EUR,catalog,17,pechuga-de-pavo-en-lonchas-carrefour-el-mercado-sin-gluten-2x200-g,050651,8431876327649,3.65,cat20002-productos-frescos,1,050651,vc4aecomm-050651,carrefour,carrefour,home_delivery|drive,carrefour,directo/sobre-producto/_2-unidad--50,,0.44
EUR,catalog,18,lomo-de-cerdo-adobado-extra-en-filetes-carrefour-500-g-aprox,679647,2952496000003,3.32,cat20002-productos-frescos,1,679647,vc4aecomm-679647,carrefour,carrefour,home_delivery|drive,carrefour,directo/sobre-producto/_super-precio,,0.12
EUR,catalog,19,lubina-600-g-aprox,301585,2932588000005,4.71,cat20002-productos-frescos,1,301585,790212148,carrefour,carrefour,home_delivery|drive,carrefour,directo/sobre-producto/_super-precio,entero|entero-limpio|rodajas|filetes|filetes-sin-piel|espalda-con-espina|espalda-sin-espina,0.24
EUR,catalog,20,pan-carrefour-5-ud,427706,2970271000000,1.19,cat20002-productos-frescos,1,427706,711411255,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,21,chorizo-extra-dulce-carrefour-sin-gluten-280-g,709826,8431876008517,2.69,cat20002-productos-frescos,1,709826,vc4aecomm-709826,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,22,queso-tierno-en-lonchas-carrefour-200-g,424955,8431876060010,2.05,cat20002-productos-frescos,1,424955,521030523,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,23,queso-mozzarella-en-lonchas-carrefour-200-g,695564,3560070418053,1.78,cat20002-productos-frescos,1,695564,521030724,carrefour,carrefour,home_delivery|drive,carrefour,,,
EUR,catalog,24,queso-roquefort-dop-extra-carrefour-cuna-100-g,683274,3560070117185,1.9,cat20002-productos-frescos,1,683274,prod841268,carrefour,carrefour,home_delivery|drive,carrefour,directo/sobre-producto/_2-unidad--50,,
