currency,item_list_name,index,item_name,item_id,item_ean,price,item_category,item_variant,quantity,coupon,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,discount,item_brand
EUR,catalog,1,pechuga-de-pavo-natural-asada-al-corte-frial-sin-gluten-y-sin-lactosa-150-g-aprox,242516,2963354000004,2.54,cat20002-productos-frescos,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,1,directo/sobre-producto/_super-precio,242516,590503830,carrefour,carrefour,home_delivery|drive,0.44,
EUR,catalog,2,filete-de-cabeza-de-lomo-de-cerdo-carrefour-500-g-aprox,152237,2914286000006,3.14,cat20002-productos-frescos,,1,directo/sobre-producto/_super-precio,152237,521034617,carrefour,carrefour,home_delivery|drive,0.2,carrefour
EUR,catalog,3,fuet-espetec-carrefour-classic-sin-gluten-2x170-g,709945,8431876289473,3.99,cat20002-productos-frescos,,1,,709945,prod1120404,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,4,pan-burguer-chapatta-cristalina-2-ud,386865,8431876324884,1.47,cat20002-productos-frescos,,1,,386865,prod860386,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,5,pimiento-de-padron-200-g,053886,8421525055450,1.65,cat20002-productos-frescos,,1,,053886,521032234,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,6,chorizo-extra-picante-carrefour-sin-gluten-280-g,709827,8431876008500,2.69,cat20002-productos-frescos,,1,,709827,vc4aecomm-709827,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,7,contras-de-pollo-carrefour-600-g-aprox,293111,2966984000000,2.15,cat20002-productos-frescos,entero|troceados,1,directo/sobre-producto/_super-precio,293111,713621738,carrefour,carrefour,home_delivery|drive,0.12,carrefour
EUR,catalog,8,salchichon-extra-revilla-sin-gluten-65-g,699225,8410320275996,1.09,cat20002-productos-frescos,,1,directo/sobre-producto/_2-unidad--50,699225,vc4aecomm-699225,carrefour,carrefour,home_delivery|drive,,revilla
EUR,catalog,9,jamon-cocido-extra-sin-fosfatos-bonnatur-argal-al-corte-150-g-aprox,640707,2945252000003,2.32,cat20002-productos-frescos,loncha-fina-1mm|loncha-gruesa-34mm|loncha-normal-23mm,1,,640707,536500299,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,10,panecillo-100-integral-6-ud,498739,8437016823132,1.05,cat20002-productos-frescos,,1,,498739,vc4aecomm-498739,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,11,medio-flautin-con-cereales-carrefour-1-ud,220198,8424465997132,0.43,cat20002-productos-frescos,,1,,220198,vc4aecomm-220198,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,12,brioche-trenzado-400-g,158038,8431876353112,3.79,cat20002-productos-frescos,,1,directo/sobre-producto/_2-unidad--50,158038,prod1120125,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,13,patata-baby-al-vapor-para-microondas-el-mercado-carrefour-bolsa-de-400-g,492575,8431876291223,1.19,cat20002-productos-frescos,,1,,492575,vc4aecomm-492575,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,14,jengibre-ecologico-200-g,080049,8429736446661,1.69,cat20002-productos-frescos,,1,,080049,prod1000454,carrefour,carrefour,home_delivery|drive,,
EUR,catalog,15,mortadela-clasica-en-lonchas-campofrio-sin-gluten-95-g,695380,8410320001847,0.99,cat20002-productos-frescos,,1,directo/sobre-producto/_2-unidad--50,695380,vc4aecomm-695380,carrefour,carrefour,home_delivery|drive,,cuidat
EUR,catalog,16,jamon-cocido-extra-en-finas-lonchas-carrefour-el-mercado-sin-gluten-200-g,050697,8431876327595,2.09,cat20002-productos-frescos,,1,,050697,vc4aecomm-050697,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,17,calabaza-cortada-carrefour-500-g,462667,8431876320305,1.95,cat20002-productos-frescos,,1,,462667,vc4aecomm-462667,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,18,berlinas-de-azucar-carrefour-4-ud,095601,2969323000006,1.35,cat20002-productos-frescos,,1,,095601,696602450,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,19,queso-de-vaca-tierno-provolone-con-oregano-carrefour-extra-pieza-de-150-g,688449,8431876291247,1.93,cat20002-productos-frescos,,1,directo/sobre-producto/_2-unidad--50,688449,vc4aecomm-688449,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,20,burgermeat-original-de-vacuno-carrefour-el-mercado-2x180-g,053271,8431876327939,4.79,cat20002-productos-frescos,,1,,053271,vc4aecomm-053271,carrefour,carrefour,home_delivery|drive,,el-mercado
EUR,catalog,21,zumo-de-naranja-recien-exprimido-carrefour-250-ml,444973,8431876269925,1.99,cat20002-productos-frescos,,1,,444973,vc4aecomm-444973,carrefour,carrefour,home_delivery|drive,,carrefour
EUR,catalog,22,pechuga-de-pavo-en-finas-lonchas-el-pozo-bienstar-sin-gluten-y-sin-lactosa-65-g,710670,8410843012566,0.99,cat20002-productos-frescos,,1,,710670,vc4aecomm-710670,carrefour,carrefour,home_delivery|drive,,el-pozo
EUR,catalog,23,salchichas-classic-wieners-oscar-mayer-sin-gluten-200-g,003292,8410486078394,1.25,cat20002-productos-frescos,,1,directo/sobre-producto/2unYrLHkBODnG8idXxbgV4SUuuw_ahora-mas-barato,003292,521031119,carrefour,carrefour,home_delivery|drive,,oscar-mayer
EUR,catalog,24,endivia-carrefour-350-g,235375,8431876022568,1.45,cat20002-productos-frescos,,1,,235375,vc4aecomm-235375,carrefour,carrefour,home_delivery|drive,,carrefour
