currency,item_list_name,index,item_name,item_id,item_ean,price,item_brand,item_category,quantity,item_sms,item_internal_id,item_provider,item_provider_type,item_shipping,item_variant,coupon,discount
EUR,catalog,1,mini-redondos-de-chocolate-carrefour-160-g,906655,8431876261714,1.79,carrefour,cat20002-productos-frescos,1,906655,800535021,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,2,ensalada-gourmet-carrefour-el-mercado-320-g,621854,8431876105988,1.75,carrefour,cat20002-productos-frescos,1,621854,521032361,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,3,ensalada-gourmet-carrefour-el-mercado-200-g,261723,8431876034691,1.15,carrefour,cat20002-productos-frescos,1,261723,521032378,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,4,fiambre-de-york-sandwich-en-lonchas-carrefour-el-mercado-sin-gluten-300-g,710699,8431876282504,2.05,carrefour,cat20002-productos-frescos,1,710699,vc4aecomm-710699,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,5,jamoncitos-de-pollo-carrefour-600-g-aprox,293108,2966983000001,2.03,carrefour,cat20002-productos-frescos,1,293108,713621736,carrefour,carrefour,home_delivery|drive,troceados|enteros,directo/sobre-producto/_super-precio,0.24
EUR,catalog,6,escalopines-de-lomo-de-cerdo-fresco-marinado-el-pozo-extratiernos-600-g,284171,8410843060451,5.59,,cat20002-productos-frescos,1,284171,605301855,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,7,pan-de-la-abuela-integral-100,550656,8431876296488,1.64,carrefour,cat20002-productos-frescos,1,550656,vc4aecomm-550656,carrefour,carrefour,home_delivery|drive,pieza|en-rebanadas,,
EUR,catalog,8,manzana-roja-1-kg-aprox,261964,2921820000002,2.25,circulo-de-calidad,cat20002-productos-frescos,1,261964,529921823,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,9,queso-rallado-en-polvo-el-caserio-80-g,167043,7622201107437,1.7,el-caserio,cat20002-productos-frescos,1,167043,vc4aecomm-167043,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,10,queso-fundido-en-porciones-carrefour-kids-400-g,793398,3560070374199,2.45,carrefour,cat20002-productos-frescos,1,793398,521007332,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,11,queso-mozzarella-italiana-galbani-125-g,066871,8000430133257,2.09,galbani,cat20002-productos-frescos,1,066871,521030592,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,12,berlinas-bombon-carrefour-4-ud,095604,2969324000005,1.56,carrefour,cat20002-productos-frescos,1,095604,696602452,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,13,alas-de-pollo-adobadas-partidas-carrefour-550-g-aprox,062836,2956832000009,2.19,carrefour,cat20002-productos-frescos,1,062836,vc4aecomm-062836,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_super-precio,0.15
EUR,catalog,14,langostino-cocido-4060-ud-1-kg-aprox-,231984,2920576000007,8.99,,cat20002-productos-frescos,1,231984,529043343,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_super-precio,0.5
EUR,catalog,15,mini-fuet-carrefour-el-mercado-sin-gluten-50-g,709939,8431876289428,1.09,carrefour,cat20002-productos-frescos,1,709939,vc4aecomm-709939,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,16,pechuga-de-pollo-carrefour-12-kg-aprox,961474,2981439000008,6.9,carrefour,cat20002-productos-frescos,1,961474,827513087,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,17,lasana-bolonesa-carrefour-el-mercado-350-g,274162,8431876226027,2.5,carrefour,cat20002-productos-frescos,1,274162,525888095,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,18,queso-en-lonchas-semicurado-carrefour-200-g,584075,8431876098969,2.35,carrefour,cat20002-productos-frescos,1,584075,521030525,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,19,pina-cilindro-vaso-600-g-aprox,490229,2997165000007,3.59,,cat20002-productos-frescos,1,490229,vc4aecomm-490229,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,20,queso-fresco-batido-desnatado-proteina-plus-sensation-carrefour-500-g,422068,8431876280166,1.41,carrefour,cat20002-productos-frescos,1,422068,vc4aecomm-422068,carrefour,carrefour,home_delivery|drive,,directo/sobre-producto/_2-unidad--50,
EUR,catalog,21,salchichas-con-queso-fundido-estilo-frankfurt-carrefour-pack-de-4-sobres-de-140-g,399377,8431876279863,1.85,carrefour,cat20002-productos-frescos,1,399377,fprod1460356,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,22,chuletas-de-pavo-marinadas-al-ajillo-carrefour-450-g-aprox,268792,2953238000008,3.04,carrefour,cat20002-productos-frescos,1,268792,prod780286,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,23,medio-flautin-con-olivas-1-ud,220201,8424465919547,0.43,,cat20002-productos-frescos,1,220201,vc4aecomm-220201,carrefour,carrefour,home_delivery|drive,,,
EUR,catalog,24,pechuga-de-pollo-fileteada-carrefour-1-kg-aprox,471148,2970637000002,7.29,carrefour,cat20002-productos-frescos,1,471148,714713283,carrefour,carrefour,home_delivery|drive,corte-normal|enteras,,
