Data de captura,Hora de captura,Categoria,Descripció,Preu unitari,Preu/kg,URL,Imatge,Disponibilitat
06-04-2025,10:03:12,Productos Frescos,Barra de pan pistola Carrefour 250 g,"0,46 €","1,84 €/kg",https://www.carrefour.es/supermercado/barra-de-pan-pistola-carrefour-250-g/R-527063193/p,https://static.carrefour.es/hd_350x_/img_pim_food/216537_00_1.jpg,Disponible
06-04-2025,10:03:12,Productos Frescos,Plátano Carrefour 900 g aprox,"2,87 €","3,19 €/kg",https://www.carrefour.es/supermercado/platano-carrefour-900-g-aprox/R-VC4AECOMM-779025/p,https://static.carrefour.es/hd_350x_/img_pim_food/779025_00_1.jpg,Disponible
06-04-2025,10:03:12,Productos Frescos,Crema de queso Original Philadelphia 350 g.,"3,65 €","10,43 €/kg",https://www.carrefour.es/supermercado/crema-de-queso-original-philadelphia-350-g/R-704404251/p,https://static.carrefour.es/hd_350x_/img_pim_food/409343_00_1.jpg,Disponible
06-04-2025,10:03:13,Productos Frescos,Berlina Fondant Donuts 204 g.,"2,99 €","14,66 €/kg",https://www.carrefour.es/supermercado/berlina-fondant-donuts-204-g/R-590204453/p,https://static.carrefour.es/hd_350x_/img_pim_food/153863_00_1.jpg,Disponible
06-04-2025,10:03:13,Productos Frescos,Queso rallado mozzarella Carrefour 200 g.,"1,59 €","7,95 €/kg",https://www.carrefour.es/supermercado/queso-rallado-mozzarella-carrefour-200-g/R-521030768/p,https://static.carrefour.es/hd_350x_/img_pim_food/710785_00_1.jpg,Disponible
06-04-2025,10:03:13,Productos Frescos,Barra de pan pistola Carrefour 3 ud,"1,09 €","0,36 €/ud",https://www.carrefour.es/supermercado/barra-de-pan-pistola-carrefour-3-ud/R-575702279/p,https://static.carrefour.es/hd_350x_/img_pim_food/668138_00_1.jpg,Disponible
06-04-2025,10:03:13,Productos Frescos,Baguette Carrefour 1 ud,"0,55 €","2,20 €/kg",https://www.carrefour.es/supermercado/baguette-carrefour-1-ud/R-525964668/p,https://static.carrefour.es/hd_350x_/img_pim_food/262274_00_1.jpg,Disponible
06-04-2025,10:03:13,Productos Frescos,Zanahoria Carrefour 1 kg,"0,99 €","0,99 €/kg",https://www.carrefour.es/supermercado/zanahoria-carrefour-1-kg/R-fprod1410012/p,https://static.carrefour.es/hd_350x_/img_pim_food/235422_00_1.jpg,Disponible
06-04-2025,10:03:13,Productos Frescos,"Calabacín Carrefour a granel 1,2 kg aprox",,"1,39 €/kg",https://www.carrefour.es/supermercado/calabacin-carrefour-a-granel-12-kg-aprox/R-VC4AECOMM-431967/p,https://static.carrefour.es/hd_350x_/img_pim_food/431967_00_1.jpg,Disponible
06-04-2025,10:03:13,Productos Frescos,Crema de queso light Philadelphia 350 g.,"3,65 €","10,43 €/kg",https://www.carrefour.es/supermercado/crema-de-queso-light-philadelphia-350-g/R-704404249/p,https://static.carrefour.es/hd_350x_/img_pim_food/409338_00_1.jpg,Disponible
