Cataleg,Descripció,Preu unitari,Preu/kg,Promoció,URL,Imatge
food,Fresón tarrina origen Huelva 500 g,"2,45 €","4,90 €/kg",,https://www.carrefour.es/supermercado/freson-tarrina-origen-huelva-500-g/R-521032196/p,https://static.carrefour.es/hd_350x_/img_pim_food/035923_00_1.jpg
food,Banana a granel 1 Kg aprox,,"1,09 €/kg",Super Precio,https://www.carrefour.es/supermercado/banana-a-granel-1-kg-aprox/R-529921745/p,https://static.carrefour.es/hd_350x_/img_pim_food/035834_00_1.jpg
food,Espinacas en hojas Findus 1 kg.,"5,45 €","5,45 €/kg",,https://www.carrefour.es/supermercado/espinacas-en-hojas-findus-1-kg/R-714518114/p,https://static.carrefour.es/hd_350x_/img_pim_food/435038_00_1.jpg
food,Colas de langostino cocidas Aguinamar 90 g,"3,49 €","38,78 €/kg",2ª unidad -50%,https://www.carrefour.es/supermercado/colas-de-langostino-cocidas-aguinamar-90-g/R-556201495/p,https://static.carrefour.es/hd_350x_/img_pim_food/113954_00_1.jpg
food,Barra de pan pistola Carrefour 250 g,"0,46 €","1,84 €/kg",,https://www.carrefour.es/supermercado/barra-de-pan-pistola-carrefour-250-g/R-527063193/p,https://static.carrefour.es/hd_350x_/img_pim_food/216537_00_1.jpg
food,Plátano Carrefour 900 g aprox,"2,87 €","3,19 €/kg",,https://www.carrefour.es/supermercado/platano-carrefour-900-g-aprox/R-VC4AECOMM-779025/p,https://static.carrefour.es/hd_350x_/img_pim_food/779025_00_1.jpg
food,Baguette Carrefour 1 ud,"0,55 €","2,20 €/kg",,https://www.carrefour.es/supermercado/baguette-carrefour-1-ud/R-525964668/p,https://static.carrefour.es/hd_350x_/img_pim_food/262274_00_1.jpg
food,Barra de pan pistola Carrefour 3 ud,"1,09 €","0,36 €/ud",,https://www.carrefour.es/supermercado/barra-de-pan-pistola-carrefour-3-ud/R-575702279/p,https://static.carrefour.es/hd_350x_/img_pim_food/668138_00_1.jpg
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
